Nimi,FMSID,LPNN,WMO,Lat,Lon,Korkeus,Ryhmät,Alkaen,geometry,buffer1000,buffer500,buffer100,Reitit(1000m),Reitit(500m),Reitit(100m),count
Virolahti Koivuniemi Ääpälä,100656,,,60.53,27.68,5.0,ilmanlaatu (IL),2013,POINT (537320.0664718065 6710631.271684047),"POLYGON ((538320.0664718065 6710631.271684047, 538315.2511984787 6710533.254543717, 538300.8517522097 6710436.181362031, 538277.0068075387 6710340.987006793, 538243.9460043177 6710248.588251682, 538201.9877361548 6710159.874947221, 538151.536084109 6710075.701451027, 538093.0769251692 6709996.878399883, 538027.173252993 6709924.16490286, 537954.4597559702 6709858.261230684, 537875.6367048261 6709799.802071745, 537791.4632086325 6709749.350419698, 537702.7499041716 6709707.3921515355, 537610.351149061 6709674.331348315, 537515.1567938227 6709650.486403643, 537418.0836121361 6709636.086957375, 537320.0664718065 6709631.271684047, 537222.0493314769 6709636.086957375, 537124.9761497903 6709650.486403643, 537029.781794552 6709674.331348315, 536937.3830394414 6709707.3921515355, 536848.6697349804 6709749.350419698, 536764.4962387868 6709799.802071745, 536685.6731876428 6709858.261230684, 536612.95969062 6709924.16490286, 536547.0560184438 6709996.878399883, 536488.596859504 6710075.701451027, 536438.1452074582 6710159.874947221, 536396.1869392953 6710248.588251682, 536363.1261360743 6710340.987006793, 536339.2811914033 6710436.181362031, 536324.8817451342 6710533.254543717, 536320.0664718065 6710631.271684047, 536324.8817451342 6710729.288824377, 536339.2811914033 6710826.362006063, 536363.1261360743 6710921.556361301, 536396.1869392953 6711013.955116412, 536438.1452074582 6711102.668420873, 536488.596859504 6711186.841917067, 536547.0560184438 6711265.66496821, 536612.95969062 6711338.378465233, 536685.6731876428 6711404.28213741, 536764.4962387868 6711462.741296349, 536848.6697349804 6711513.192948395, 536937.3830394414 6711555.151216558, 537029.781794552 6711588.212019779, 537124.9761497903 6711612.0569644505, 537222.0493314769 6711626.456410719, 537320.0664718065 6711631.271684047, 537418.0836121361 6711626.456410719, 537515.1567938227 6711612.0569644505, 537610.351149061 6711588.212019779, 537702.7499041716 6711555.151216558, 537791.4632086325 6711513.192948395, 537875.6367048261 6711462.741296349, 537954.4597559702 6711404.28213741, 538027.173252993 6711338.378465233, 538093.0769251692 6711265.66496821, 538151.536084109 6711186.841917067, 538201.9877361548 6711102.668420873, 538243.9460043177 6711013.955116412, 538277.0068075387 6710921.556361301, 538300.8517522097 6710826.362006063, 538315.2511984787 6710729.288824377, 538320.0664718065 6710631.271684047))","POLYGON ((537820.0664718065 6710631.271684047, 537817.6588351426 6710582.263113882, 537810.4591120081 6710533.726523039, 537798.5366396726 6710486.12934542, 537782.0062380622 6710439.929967864, 537761.0271039807 6710395.573315633, 537735.8012779577 6710353.486567537, 537706.5716984879 6710314.075041965, 537673.6198623998 6710277.718293454, 537637.2631138883 6710244.766457366, 537597.8515883163 6710215.536877896, 537555.7648402195 6710190.311051873, 537511.408187989 6710169.331917792, 537465.2088104337 6710152.801516181, 537417.6116328145 6710140.879043845, 537369.0750419713 6710133.679320711, 537320.0664718065 6710131.271684047, 537271.0579016417 6710133.679320711, 537222.5213107985 6710140.879043845, 537174.9241331792 6710152.801516181, 537128.724755624 6710169.331917792, 537084.3681033935 6710190.311051873, 537042.2813552967 6710215.536877896, 537002.8698297247 6710244.766457366, 536966.5130812132 6710277.718293454, 536933.5612451251 6710314.075041965, 536904.3316656552 6710353.486567537, 536879.1058396323 6710395.573315633, 536858.1267055508 6710439.929967864, 536841.5963039404 6710486.12934542, 536829.6738316049 6710533.726523039, 536822.4741084704 6710582.263113882, 536820.0664718065 6710631.271684047, 536822.4741084704 6710680.280254211, 536829.6738316049 6710728.816845055, 536841.5963039404 6710776.414022674, 536858.1267055508 6710822.613400229, 536879.1058396323 6710866.97005246, 536904.3316656552 6710909.056800556, 536933.5612451251 6710948.468326129, 536966.5130812132 6710984.82507464, 537002.8698297247 6711017.776910728, 537042.2813552967 6711047.006490198, 537084.3681033935 6711072.232316221, 537128.724755624 6711093.211450302, 537174.9241331792 6711109.741851913, 537222.5213107985 6711121.664324248, 537271.0579016417 6711128.864047383, 537320.0664718065 6711131.271684047, 537369.0750419713 6711128.864047383, 537417.6116328145 6711121.664324248, 537465.2088104337 6711109.741851913, 537511.408187989 6711093.211450302, 537555.7648402195 6711072.232316221, 537597.8515883163 6711047.006490198, 537637.2631138883 6711017.776910728, 537673.6198623998 6710984.82507464, 537706.5716984879 6710948.468326129, 537735.8012779577 6710909.056800556, 537761.0271039807 6710866.97005246, 537782.0062380622 6710822.613400229, 537798.5366396726 6710776.414022674, 537810.4591120081 6710728.816845055, 537817.6588351426 6710680.280254211, 537820.0664718065 6710631.271684047))","POLYGON ((537420.0664718065 6710631.271684047, 537419.5849444737 6710621.469970014, 537418.1449998468 6710611.762651845, 537415.7605053798 6710602.243216322, 537412.4544250576 6710593.003340811, 537408.2585982414 6710584.132010364, 537403.2134330367 6710575.714660745, 537397.3675171428 6710567.832355631, 537390.7771499251 6710560.561005929, 537383.5058002229 6710553.970638711, 537375.6234951084 6710548.124722817, 537367.2061454891 6710543.079557612, 537358.334815043 6710538.883730796, 537349.094939532 6710535.577650473, 537339.5755040081 6710533.193156007, 537329.8681858395 6710531.75321138, 537320.0664718065 6710531.271684047, 537310.2647577735 6710531.75321138, 537300.5574396049 6710533.193156007, 537291.038004081 6710535.577650473, 537281.79812857 6710538.883730796, 537272.9267981239 6710543.079557612, 537264.5094485045 6710548.124722817, 537256.6271433901 6710553.970638711, 537249.3557936879 6710560.561005929, 537242.7654264702 6710567.832355631, 537236.9195105763 6710575.714660745, 537231.8743453716 6710584.132010364, 537227.6785185554 6710593.003340811, 537224.3724382332 6710602.243216322, 537221.9879437662 6710611.762651845, 537220.5479991393 6710621.469970014, 537220.0664718065 6710631.271684047, 537220.5479991393 6710641.07339808, 537221.9879437662 6710650.780716249, 537224.3724382332 6710660.300151772, 537227.6785185554 6710669.540027283, 537231.8743453716 6710678.41135773, 537236.9195105763 6710686.828707349, 537242.7654264702 6710694.711012463, 537249.3557936879 6710701.982362165, 537256.6271433901 6710708.572729383, 537264.5094485045 6710714.418645277, 537272.9267981239 6710719.463810482, 537281.79812857 6710723.6596372975, 537291.038004081 6710726.96571762, 537300.5574396049 6710729.350212087, 537310.2647577735 6710730.790156714, 537320.0664718065 6710731.271684047, 537329.8681858395 6710730.790156714, 537339.5755040081 6710729.350212087, 537349.094939532 6710726.96571762, 537358.334815043 6710723.6596372975, 537367.2061454891 6710719.463810482, 537375.6234951084 6710714.418645277, 537383.5058002229 6710708.572729383, 537390.7771499251 6710701.982362165, 537397.3675171428 6710694.711012463, 537403.2134330367 6710686.828707349, 537408.2585982414 6710678.41135773, 537412.4544250576 6710669.540027283, 537415.7605053798 6710660.300151772, 537418.1449998468 6710650.780716249, 537419.5849444737 6710641.07339808, 537420.0664718065 6710631.271684047))",14,9,2,3
Espoo Leppävaara Läkkisepänkuja,100691,,,60.22,24.81,9.0,ilmanlaatu (kaupungit),2010,POINT (378673.7750963532 6677925.3637112565),"POLYGON ((379673.7750963532 6677925.3637112565, 379668.9598230254 6677827.346570927, 379654.5603767564 6677730.273389241, 379630.7154320854 6677635.0790340025, 379597.6546288645 6677542.680278892, 379555.6963607016 6677453.966974431, 379505.24470865575 6677369.7934782365, 379446.7855497159 6677290.970427093, 379380.88187753974 6677218.25693007, 379308.1683805169 6677152.353257894, 379229.3453293728 6677093.894098954, 379145.1718331792 6677043.442446908, 379056.45852871827 6677001.484178745, 378964.05977360765 6676968.423375525, 378868.86541836936 6676944.578430853, 378771.7922366828 6676930.178984584, 378673.7750963532 6676925.3637112565, 378575.7579560236 6676930.178984584, 378478.68477433705 6676944.578430853, 378383.49041909876 6676968.423375525, 378291.09166398813 6677001.484178745, 378202.3783595272 6677043.442446908, 378118.2048633336 6677093.894098954, 378039.38181218953 6677152.353257894, 377966.66831516667 6677218.25693007, 377900.7646429905 6677290.970427093, 377842.30548405065 6677369.7934782365, 377791.8538320048 6677453.966974431, 377749.8955638419 6677542.680278892, 377716.834760621 6677635.0790340025, 377692.98981595 6677730.273389241, 377678.590369681 6677827.346570927, 377673.7750963532 6677925.3637112565, 377678.590369681 6678023.380851586, 377692.98981595 6678120.454033272, 377716.834760621 6678215.648388511, 377749.8955638419 6678308.047143621, 377791.8538320048 6678396.760448082, 377842.30548405065 6678480.9339442765, 377900.7646429905 6678559.75699542, 377966.66831516667 6678632.470492443, 378039.38181218953 6678698.3741646195, 378118.2048633336 6678756.833323559, 378202.3783595272 6678807.284975605, 378291.09166398813 6678849.243243768, 378383.49041909876 6678882.3040469885, 378478.68477433705 6678906.14899166, 378575.7579560236 6678920.548437929, 378673.7750963532 6678925.3637112565, 378771.7922366828 6678920.548437929, 378868.86541836936 6678906.14899166, 378964.05977360765 6678882.3040469885, 379056.45852871827 6678849.243243768, 379145.1718331792 6678807.284975605, 379229.3453293728 6678756.833323559, 379308.1683805169 6678698.3741646195, 379380.88187753974 6678632.470492443, 379446.7855497159 6678559.75699542, 379505.24470865575 6678480.9339442765, 379555.6963607016 6678396.760448082, 379597.6546288645 6678308.047143621, 379630.7154320854 6678215.648388511, 379654.5603767564 6678120.454033272, 379668.9598230254 6678023.380851586, 379673.7750963532 6677925.3637112565))","POLYGON ((379173.7750963532 6677925.3637112565, 379171.3674596893 6677876.355141092, 379164.1677365548 6677827.818550249, 379152.2452642193 6677780.2213726295, 379135.7148626088 6677734.021995074, 379114.73572852736 6677689.665342843, 379089.50990250445 6677647.578594747, 379060.28032303456 6677608.167069174, 379027.32848694647 6677571.810320663, 378990.97173843504 6677538.8584845755, 378951.560212863 6677509.628905105, 378909.4734647662 6677484.403079082, 378865.11681253574 6677463.423945001, 378818.91743498045 6677446.893543391, 378771.3202573613 6677434.971071055, 378722.783666518 6677427.77134792, 378673.7750963532 6677425.3637112565, 378624.7665261884 6677427.77134792, 378576.2299353451 6677434.971071055, 378528.63275772595 6677446.893543391, 378482.43338017067 6677463.423945001, 378438.0767279402 6677484.403079082, 378395.9899798434 6677509.628905105, 378356.57845427137 6677538.8584845755, 378320.22170575993 6677571.810320663, 378287.26986967184 6677608.167069174, 378258.04029020196 6677647.578594747, 378232.81446417904 6677689.665342843, 378211.8353300976 6677734.021995074, 378195.3049284871 6677780.2213726295, 378183.3824561516 6677827.818550249, 378176.1827330171 6677876.355141092, 378173.7750963532 6677925.3637112565, 378176.1827330171 6677974.372281421, 378183.3824561516 6678022.908872264, 378195.3049284871 6678070.506049884, 378211.8353300976 6678116.705427439, 378232.81446417904 6678161.06207967, 378258.04029020196 6678203.148827766, 378287.26986967184 6678242.560353339, 378320.22170575993 6678278.91710185, 378356.57845427137 6678311.868937938, 378395.9899798434 6678341.098517408, 378438.0767279402 6678366.324343431, 378482.43338017067 6678387.303477512, 378528.63275772595 6678403.8338791225, 378576.2299353451 6678415.756351458, 378624.7665261884 6678422.956074593, 378673.7750963532 6678425.3637112565, 378722.783666518 6678422.956074593, 378771.3202573613 6678415.756351458, 378818.91743498045 6678403.8338791225, 378865.11681253574 6678387.303477512, 378909.4734647662 6678366.324343431, 378951.560212863 6678341.098517408, 378990.97173843504 6678311.868937938, 379027.32848694647 6678278.91710185, 379060.28032303456 6678242.560353339, 379089.50990250445 6678203.148827766, 379114.73572852736 6678161.06207967, 379135.7148626088 6678116.705427439, 379152.2452642193 6678070.506049884, 379164.1677365548 6678022.908872264, 379171.3674596893 6677974.372281421, 379173.7750963532 6677925.3637112565))","POLYGON ((378773.7750963532 6677925.3637112565, 378773.2935690204 6677915.561997224, 378771.8536243935 6677905.854679055, 378769.4691299264 6677896.3352435315, 378766.16304960434 6677887.09536802, 378761.967222788 6677878.224037574, 378756.92205758346 6677869.806687955, 378751.0761416895 6677861.92438284, 378744.48577447183 6677854.653033138, 378737.21442476957 6677848.062665921, 378729.33211965516 6677842.216750027, 378720.91477003583 6677837.171584821, 378712.04343958973 6677832.975758006, 378702.80356407864 6677829.669677683, 378693.2841285548 6677827.285183216, 378683.57681038615 6677825.84523859, 378673.7750963532 6677825.3637112565, 378663.97338232026 6677825.84523859, 378654.2660641516 6677827.285183216, 378644.74662862776 6677829.669677683, 378635.5067531167 6677832.975758006, 378626.6354226706 6677837.171584821, 378618.21807305125 6677842.216750027, 378610.33576793683 6677848.062665921, 378603.0644182346 6677854.653033138, 378596.4740510169 6677861.92438284, 378590.62813512294 6677869.806687955, 378585.5829699184 6677878.224037574, 378581.38714310207 6677887.09536802, 378578.08106278 6677896.3352435315, 378575.6965683129 6677905.854679055, 378574.256623686 6677915.561997224, 378573.7750963532 6677925.3637112565, 378574.256623686 6677935.165425289, 378575.6965683129 6677944.8727434585, 378578.08106278 6677954.392178982, 378581.38714310207 6677963.632054493, 378585.5829699184 6677972.503384939, 378590.62813512294 6677980.920734558, 378596.4740510169 6677988.803039673, 378603.0644182346 6677996.074389375, 378610.33576793683 6678002.664756592, 378618.21807305125 6678008.510672486, 378626.6354226706 6678013.555837692, 378635.5067531167 6678017.751664507, 378644.74662862776 6678021.05774483, 378654.2660641516 6678023.442239297, 378663.97338232026 6678024.882183923, 378673.7750963532 6678025.3637112565, 378683.57681038615 6678024.882183923, 378693.2841285548 6678023.442239297, 378702.80356407864 6678021.05774483, 378712.04343958973 6678017.751664507, 378720.91477003583 6678013.555837692, 378729.33211965516 6678008.510672486, 378737.21442476957 6678002.664756592, 378744.48577447183 6677996.074389375, 378751.0761416895 6677988.803039673, 378756.92205758346 6677980.920734558, 378761.967222788 6677972.503384939, 378766.16304960434 6677963.632054493, 378769.4691299264 6677954.392178982, 378771.8536243935 6677944.8727434585, 378773.2935690204 6677935.165425289, 378773.7750963532 6677925.3637112565))",107,38,4,9
Harjavalta Pirkkala,103143,,,61.33,22.14,40.0,ilmanlaatu (kaupungit),1990,POINT (240042.64854923848 6809227.108649717),"POLYGON ((241042.64854923848 6809227.108649717, 241037.83327591067 6809129.091509387, 241023.43382964173 6809032.018327701, 240999.5888849707 6808936.823972463, 240966.52808174977 6808844.425217352, 240924.56981358683 6808755.711912891, 240874.11816154103 6808671.538416697, 240815.65900260123 6808592.715365553, 240749.75533042502 6808520.00186853, 240677.04183340212 6808454.098196354, 240598.21878225807 6808395.639037414, 240514.04528606447 6808345.187385368, 240425.33198160358 6808303.229117205, 240332.93322649295 6808270.168313985, 240237.7388712546 6808246.323369313, 240140.66568956804 6808231.923923044, 240042.64854923848 6808227.108649717, 239944.63140890893 6808231.923923044, 239847.55822722235 6808246.323369313, 239752.363871984 6808270.168313985, 239659.96511687338 6808303.229117205, 239571.2518124125 6808345.187385368, 239487.0783162189 6808395.639037414, 239408.25526507484 6808454.098196354, 239335.54176805195 6808520.00186853, 239269.63809587574 6808592.715365553, 239211.17893693593 6808671.538416697, 239160.72728489013 6808755.711912891, 239118.7690167272 6808844.425217352, 239085.70821350627 6808936.823972463, 239061.86326883524 6809032.018327701, 239047.4638225663 6809129.091509387, 239042.64854923848 6809227.108649717, 239047.4638225663 6809325.1257900465, 239061.86326883524 6809422.1989717325, 239085.70821350627 6809517.393326971, 239118.7690167272 6809609.792082082, 239160.72728489013 6809698.5053865425, 239211.17893693593 6809782.678882737, 239269.63809587574 6809861.50193388, 239335.54176805195 6809934.215430903, 239408.25526507484 6810000.11910308, 239487.0783162189 6810058.578262019, 239571.2518124125 6810109.029914065, 239659.96511687338 6810150.988182228, 239752.363871984 6810184.048985449, 239847.55822722235 6810207.89393012, 239944.63140890893 6810222.293376389, 240042.64854923848 6810227.108649717, 240140.66568956804 6810222.293376389, 240237.7388712546 6810207.89393012, 240332.93322649295 6810184.048985449, 240425.33198160358 6810150.988182228, 240514.04528606447 6810109.029914065, 240598.21878225807 6810058.578262019, 240677.04183340212 6810000.11910308, 240749.75533042502 6809934.215430903, 240815.65900260123 6809861.50193388, 240874.11816154103 6809782.678882737, 240924.56981358683 6809698.5053865425, 240966.52808174977 6809609.792082082, 240999.5888849707 6809517.393326971, 241023.43382964173 6809422.1989717325, 241037.83327591067 6809325.1257900465, 241042.64854923848 6809227.108649717))","POLYGON ((240542.64854923848 6809227.108649717, 240540.24091257458 6809178.100079552, 240533.0411894401 6809129.563488709, 240521.11871710457 6809081.96631109, 240504.58831549413 6809035.766933534, 240483.60918141267 6808991.410281303, 240458.38335538976 6808949.323533207, 240429.15377591984 6808909.9120076345, 240396.20193983175 6808873.555259123, 240359.84519132032 6808840.603423036, 240320.43366574828 6808811.373843566, 240278.34691765148 6808786.148017542, 240233.99026542102 6808765.1688834615, 240187.7908878657 6808748.638481851, 240140.19371024656 6808736.716009515, 240091.65711940327 6808729.516286381, 240042.64854923848 6808727.108649717, 239993.6399790737 6808729.516286381, 239945.1033882304 6808736.716009515, 239897.50621061126 6808748.638481851, 239851.30683305595 6808765.1688834615, 239806.9501808255 6808786.148017542, 239764.86343272869 6808811.373843566, 239725.45190715665 6808840.603423036, 239689.0951586452 6808873.555259123, 239656.14332255712 6808909.9120076345, 239626.9137430872 6808949.323533207, 239601.6879170643 6808991.410281303, 239580.70878298284 6809035.766933534, 239564.1783813724 6809081.96631109, 239552.25590903687 6809129.563488709, 239545.0561859024 6809178.100079552, 239542.64854923848 6809227.108649717, 239545.0561859024 6809276.117219881, 239552.25590903687 6809324.653810725, 239564.1783813724 6809372.250988344, 239580.70878298284 6809418.450365899, 239601.6879170643 6809462.80701813, 239626.9137430872 6809504.893766226, 239656.14332255712 6809544.305291799, 239689.0951586452 6809580.66204031, 239725.45190715665 6809613.613876398, 239764.86343272869 6809642.843455868, 239806.9501808255 6809668.069281891, 239851.30683305595 6809689.048415972, 239897.50621061126 6809705.578817583, 239945.1033882304 6809717.501289918, 239993.6399790737 6809724.701013053, 240042.64854923848 6809727.108649717, 240091.65711940327 6809724.701013053, 240140.19371024656 6809717.501289918, 240187.7908878657 6809705.578817583, 240233.99026542102 6809689.048415972, 240278.34691765148 6809668.069281891, 240320.43366574828 6809642.843455868, 240359.84519132032 6809613.613876398, 240396.20193983175 6809580.66204031, 240429.15377591984 6809544.305291799, 240458.38335538976 6809504.893766226, 240483.60918141267 6809462.80701813, 240504.58831549413 6809418.450365899, 240521.11871710457 6809372.250988344, 240533.0411894401 6809324.653810725, 240540.24091257458 6809276.117219881, 240542.64854923848 6809227.108649717))","POLYGON ((240142.64854923848 6809227.108649717, 240142.1670219057 6809217.306935684, 240140.7270772788 6809207.599617515, 240138.3425828117 6809198.080181992, 240135.03650248962 6809188.84030648, 240130.84067567333 6809179.968976034, 240125.79551046874 6809171.551626415, 240119.94959457475 6809163.6693213, 240113.35922735714 6809156.397971598, 240106.08787765485 6809149.807604381, 240098.20557254044 6809143.961688487, 240089.78822292108 6809138.9165232815, 240080.91689247498 6809134.720696466, 240071.67701696392 6809131.414616143, 240062.1575814401 6809129.030121677, 240052.45026327143 6809127.59017705, 240042.64854923848 6809127.108649717, 240032.84683520554 6809127.59017705, 240023.13951703688 6809129.030121677, 240013.62008151304 6809131.414616143, 240004.38020600198 6809134.720696466, 239995.50887555588 6809138.9165232815, 239987.09152593653 6809143.961688487, 239979.20922082211 6809149.807604381, 239971.93787111982 6809156.397971598, 239965.34750390222 6809163.6693213, 239959.50158800822 6809171.551626415, 239954.45642280363 6809179.968976034, 239950.26059598735 6809188.84030648, 239946.95451566527 6809198.080181992, 239944.57002119816 6809207.599617515, 239943.13007657125 6809217.306935684, 239942.64854923848 6809227.108649717, 239943.13007657125 6809236.91036375, 239944.57002119816 6809246.617681919, 239946.95451566527 6809256.137117442, 239950.26059598735 6809265.376992953, 239954.45642280363 6809274.2483234, 239959.50158800822 6809282.665673018, 239965.34750390222 6809290.547978133, 239971.93787111982 6809297.819327835, 239979.20922082211 6809304.409695053, 239987.09152593653 6809310.255610947, 239995.50887555588 6809315.300776152, 240004.38020600198 6809319.496602967, 240013.62008151304 6809322.80268329, 240023.13951703688 6809325.187177757, 240032.84683520554 6809326.627122384, 240042.64854923848 6809327.108649717, 240052.45026327143 6809326.627122384, 240062.1575814401 6809325.187177757, 240071.67701696392 6809322.80268329, 240080.91689247498 6809319.496602967, 240089.78822292108 6809315.300776152, 240098.20557254044 6809310.255610947, 240106.08787765485 6809304.409695053, 240113.35922735714 6809297.819327835, 240119.94959457475 6809290.547978133, 240125.79551046874 6809282.665673018, 240130.84067567333 6809274.2483234, 240135.03650248962 6809265.376992953, 240138.3425828117 6809256.137117442, 240140.7270772788 6809246.617681919, 240142.1670219057 6809236.91036375, 240142.64854923848 6809227.108649717))",40,18,5,2
Helsinki Mäkelänkatu,100762,,,60.2,24.95,25.0,ilmanlaatu (kaupungit),2015,POINT (386358.8842993917 6675449.520309521),"POLYGON ((387358.8842993917 6675449.520309521, 387354.0690260639 6675351.503169191, 387339.6695797949 6675254.429987505, 387315.8246351239 6675159.235632267, 387282.763831903 6675066.836877156, 387240.8055637401 6674978.123572695, 387190.35391169426 6674893.950076501, 387131.8947527544 6674815.127025357, 387065.99108057824 6674742.413528334, 386993.2775835554 6674676.509856158, 386914.4545324113 6674618.050697219, 386830.2810362177 6674567.599045172, 386741.5677317568 6674525.64077701, 386649.16897664615 6674492.579973789, 386553.97462140786 6674468.735029117, 386456.9014397213 6674454.335582849, 386358.8842993917 6674449.520309521, 386260.8671590621 6674454.335582849, 386163.79397737555 6674468.735029117, 386068.59962213726 6674492.579973789, 385976.20086702664 6674525.64077701, 385887.4875625657 6674567.599045172, 385803.3140663721 6674618.050697219, 385724.49101522804 6674676.509856158, 385651.77751820517 6674742.413528334, 385585.873846029 6674815.127025357, 385527.41468708916 6674893.950076501, 385476.9630350433 6674978.123572695, 385435.0047668804 6675066.836877156, 385401.9439636595 6675159.235632267, 385378.0990189885 6675254.429987505, 385363.6995727195 6675351.503169191, 385358.8842993917 6675449.520309521, 385363.6995727195 6675547.537449851, 385378.0990189885 6675644.610631537, 385401.9439636595 6675739.804986775, 385435.0047668804 6675832.203741886, 385476.9630350433 6675920.917046347, 385527.41468708916 6676005.090542541, 385585.873846029 6676083.913593684, 385651.77751820517 6676156.627090707, 385724.49101522804 6676222.530762884, 385803.3140663721 6676280.989921823, 385887.4875625657 6676331.441573869, 385976.20086702664 6676373.399842032, 386068.59962213726 6676406.460645253, 386163.79397737555 6676430.305589925, 386260.8671590621 6676444.705036193, 386358.8842993917 6676449.520309521, 386456.9014397213 6676444.705036193, 386553.97462140786 6676430.305589925, 386649.16897664615 6676406.460645253, 386741.5677317568 6676373.399842032, 386830.2810362177 6676331.441573869, 386914.4545324113 6676280.989921823, 386993.2775835554 6676222.530762884, 387065.99108057824 6676156.627090707, 387131.8947527544 6676083.913593684, 387190.35391169426 6676005.090542541, 387240.8055637401 6675920.917046347, 387282.763831903 6675832.203741886, 387315.8246351239 6675739.804986775, 387339.6695797949 6675644.610631537, 387354.0690260639 6675547.537449851, 387358.8842993917 6675449.520309521))","POLYGON ((386858.8842993917 6675449.520309521, 386856.47666272783 6675400.511739356, 386849.2769395933 6675351.975148513, 386837.3544672578 6675304.377970894, 386820.8240656473 6675258.1785933385, 386799.84493156587 6675213.8219411075, 386774.61910554295 6675171.735193011, 386745.38952607306 6675132.323667439, 386712.437689985 6675095.966918928, 386676.08094147354 6675063.01508284, 386636.66941590153 6675033.78550337, 386594.58266780473 6675008.559677347, 386550.22601557424 6674987.580543266, 386504.02663801896 6674971.050141655, 386456.4294603998 6674959.1276693195, 386407.8928695565 6674951.927946185, 386358.8842993917 6674949.520309521, 386309.8757292269 6674951.927946185, 386261.3391383836 6674959.1276693195, 386213.74196076446 6674971.050141655, 386167.5425832092 6674987.580543266, 386123.1859309787 6675008.559677347, 386081.0991828819 6675033.78550337, 386041.68765730987 6675063.01508284, 386005.33090879844 6675095.966918928, 385972.37907271035 6675132.323667439, 385943.14949324046 6675171.735193011, 385917.92366721755 6675213.8219411075, 385896.9445331361 6675258.1785933385, 385880.4141315256 6675304.377970894, 385868.4916591901 6675351.975148513, 385861.2919360556 6675400.511739356, 385858.8842993917 6675449.520309521, 385861.2919360556 6675498.528879685, 385868.4916591901 6675547.065470529, 385880.4141315256 6675594.662648148, 385896.9445331361 6675640.862025703, 385917.92366721755 6675685.218677934, 385943.14949324046 6675727.30542603, 385972.37907271035 6675766.716951603, 386005.33090879844 6675803.073700114, 386041.68765730987 6675836.025536202, 386081.0991828819 6675865.255115672, 386123.1859309787 6675890.480941695, 386167.5425832092 6675911.460075776, 386213.74196076446 6675927.990477387, 386261.3391383836 6675939.912949722, 386309.8757292269 6675947.112672857, 386358.8842993917 6675949.520309521, 386407.8928695565 6675947.112672857, 386456.4294603998 6675939.912949722, 386504.02663801896 6675927.990477387, 386550.22601557424 6675911.460075776, 386594.58266780473 6675890.480941695, 386636.66941590153 6675865.255115672, 386676.08094147354 6675836.025536202, 386712.437689985 6675803.073700114, 386745.38952607306 6675766.716951603, 386774.61910554295 6675727.30542603, 386799.84493156587 6675685.218677934, 386820.8240656473 6675640.862025703, 386837.3544672578 6675594.662648148, 386849.2769395933 6675547.065470529, 386856.47666272783 6675498.528879685, 386858.8842993917 6675449.520309521))","POLYGON ((386458.8842993917 6675449.520309521, 386458.4027720589 6675439.718595488, 386456.962827432 6675430.011277319, 386454.5783329649 6675420.491841796, 386451.27225264284 6675411.251966285, 386447.0764258265 6675402.380635838, 386442.03126062197 6675393.963286219, 386436.185344728 6675386.080981105, 386429.59497751034 6675378.809631403, 386422.3236278081 6675372.219264185, 386414.44132269366 6675366.373348291, 386406.02397307433 6675361.328183086, 386397.15264262824 6675357.13235627, 386387.91276711714 6675353.8262759475, 386378.3933315933 6675351.441781481, 386368.68601342465 6675350.001836854, 386358.8842993917 6675349.520309521, 386349.08258535876 6675350.001836854, 386339.3752671901 6675351.441781481, 386329.85583166627 6675353.8262759475, 386320.6159561552 6675357.13235627, 386311.7446257091 6675361.328183086, 386303.32727608975 6675366.373348291, 386295.44497097534 6675372.219264185, 386288.1736212731 6675378.809631403, 386281.5832540554 6675386.080981105, 386275.73733816145 6675393.963286219, 386270.6921729569 6675402.380635838, 386266.4963461406 6675411.251966285, 386263.1902658185 6675420.491841796, 386260.8057713514 6675430.011277319, 386259.3658267245 6675439.718595488, 386258.8842993917 6675449.520309521, 386259.3658267245 6675459.322023554, 386260.8057713514 6675469.029341723, 386263.1902658185 6675478.548777246, 386266.4963461406 6675487.788652757, 386270.6921729569 6675496.659983204, 386275.73733816145 6675505.077332823, 386281.5832540554 6675512.959637937, 386288.1736212731 6675520.230987639, 386295.44497097534 6675526.821354857, 386303.32727608975 6675532.667270751, 386311.7446257091 6675537.712435956, 386320.6159561552 6675541.908262772, 386329.85583166627 6675545.214343094, 386339.3752671901 6675547.598837561, 386349.08258535876 6675549.038782188, 386358.8842993917 6675549.520309521, 386368.68601342465 6675549.038782188, 386378.3933315933 6675547.598837561, 386387.91276711714 6675545.214343094, 386397.15264262824 6675541.908262772, 386406.02397307433 6675537.712435956, 386414.44132269366 6675532.667270751, 386422.3236278081 6675526.821354857, 386429.59497751034 6675520.230987639, 386436.185344728 6675512.959637937, 386442.03126062197 6675505.077332823, 386447.0764258265 6675496.659983204, 386451.27225264284 6675487.788652757, 386454.5783329649 6675478.548777246, 386456.962827432 6675469.029341723, 386458.4027720589 6675459.322023554, 386458.8842993917 6675449.520309521))",28,0,0,16
