geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m,Havaintoaseman nimi
"LINESTRING Z (25.099995 60.217163 0, 25.095875 60.216052999999995 0, 25.093850000000003 60.215402999999995 0)",100113581.0,100113450.0,2024-04-01 21:44:31+00:00,2024-04-01 21:47:15+00:00,['BRUSHING'],2024-04-01 21:44:30+00:00,2024-04-01 21:46:49+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.094134 60.21544699999999 0, 25.091718 60.21451600000002 0, 25.089718 60.213496 0, 25.089029 60.213273 0, 25.088478 60.212889 0)",100113672.0,100113572.0,2024-04-01 21:46:17+00:00,2024-04-01 21:49:17+00:00,['BRUSHING'],2024-04-01 21:46:17+00:00,2024-04-01 21:48:08+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.093850000000003 60.215402999999995 0, 25.092179 60.21475699999999 0, 25.089716 60.21363000000001 0, 25.088027 60.21266000000001 0)",100113690.0,100113581.0,2024-04-01 21:46:50+00:00,2024-04-01 21:49:17+00:00,['BRUSHING'],2024-04-01 21:46:49+00:00,2024-04-01 21:48:15+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.088478 60.212889 0, 25.087512 60.21238899999999 0, 25.087533 60.21232999999999 0, 25.087906 60.212323 0, 25.088757 60.21286299999999 0, 25.090868 60.21390499999999 0, 25.094163 60.215264 0)",100113755.0,100113672.0,2024-04-01 21:48:08+00:00,2024-04-01 21:50:18+00:00,['BRUSHING'],2024-04-01 21:48:08+00:00,2024-04-01 21:49:13+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.088027 60.21266000000001 0, 25.087625 60.21246099999998 0, 25.087592 60.21235699999999 0, 25.087857 60.212351000000005 0, 25.091104 60.214105 0, 25.094181 60.21534299999999 0)",100113758.0,100113690.0,2024-04-01 21:48:16+00:00,2024-04-01 21:50:18+00:00,['BRUSHING'],2024-04-01 21:48:15+00:00,2024-04-01 21:49:16+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.094163 60.215264 0, 25.102431 60.217678 0, 25.105115 60.21868099999998 0, 25.107658 60.21985 0)",100113804.0,100113755.0,2024-04-01 21:49:13+00:00,2024-04-01 21:51:18+00:00,['BRUSHING'],2024-04-01 21:49:13+00:00,2024-04-01 21:50:17+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.094181 60.21534299999999 0, 25.102618 60.21781099999999 0, 25.10459 60.21853199999999 0, 25.106513 60.21936300000001 0)",100113805.0,100113758.0,2024-04-01 21:49:17+00:00,2024-04-01 21:51:18+00:00,['BRUSHING'],2024-04-01 21:49:16+00:00,2024-04-01 21:50:17+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.107658 60.21985 0, 25.118804000000004 60.225807999999994 0)",100113893.0,100113804.0,2024-04-01 21:50:17+00:00,2024-04-01 21:52:19+00:00,['BRUSHING'],2024-04-01 21:50:17+00:00,2024-04-01 21:51:22+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.106513 60.21936300000001 0, 25.117098 60.225008 0)",100113894.0,100113805.0,2024-04-01 21:50:18+00:00,2024-04-01 21:52:19+00:00,['BRUSHING'],2024-04-01 21:50:17+00:00,2024-04-01 21:51:18+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.080878 60.222291999999996 0, 25.081275 60.22205199999999 0, 25.081549 60.221768 0, 25.081813 60.220755000000004 0, 25.082076 60.22017699999999 0, 25.082973 60.218724 0, 25.084206 60.216969999999975 0, 25.08508 60.21551399999999 0, 25.08524 60.21504500000002 0, 25.085193 60.21452399999998 0)",101338441.0,101338287.0,2024-04-09 06:52:10+00:00,2024-04-09 06:54:18+00:00,['BRUSHING'],2024-04-09 06:52:10+00:00,2024-04-09 06:54:18+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.085193 60.21452399999998 0, 25.085269 60.21424300000002 0, 25.085915 60.21352000000001 0, 25.086294 60.212959000000005 0, 25.086895 60.212581 0, 25.087618 60.212308000000014 0, 25.087924 60.212390000000006 0, 25.090947 60.214098 0)",101338755.0,101338441.0,2024-04-09 06:54:18+00:00,2024-04-09 06:56:20+00:00,['BRUSHING'],2024-04-09 06:54:18+00:00,2024-04-09 06:55:19+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.090947 60.214098 0, 25.092241 60.214688000000024 0, 25.094856 60.215565000000005 0, 25.100478 60.217109 0, 25.104376 60.218415 0)",101338909.0,101338755.0,2024-04-09 06:55:19+00:00,2024-04-09 06:57:22+00:00,['BRUSHING'],2024-04-09 06:55:19+00:00,2024-04-09 06:56:36+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.079230000000003 60.22335199999999 0, 25.080762 60.22216299999999 0, 25.081083 60.221771999999994 0, 25.082597 60.219322 0, 25.083102 60.218349999999994 0, 25.083513 60.21787 0, 25.084405000000004 60.216423 0, 25.085485 60.214902 0)",101338910.0,101338757.0,2024-04-09 06:55:21+00:00,2024-04-09 06:57:22+00:00,['BRUSHING'],2024-04-09 06:55:20+00:00,2024-04-09 06:57:43+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.104376 60.218415 0, 25.107962 60.219995999999995 0, 25.113276 60.22290799999999 0)",101339069.0,101338909.0,2024-04-09 06:56:36+00:00,2024-04-09 06:59:24+00:00,['BRUSHING'],2024-04-09 06:56:36+00:00,2024-04-09 06:57:37+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.113276 60.22290799999999 0, 25.125527 60.229514999999985 0)",101339229.0,101339069.0,2024-04-09 06:57:37+00:00,2024-04-09 07:00:26+00:00,['BRUSHING'],2024-04-09 06:57:37+00:00,2024-04-09 06:58:38+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.085485 60.214902 0, 25.085728000000003 60.213716999999995 0, 25.085927 60.213413 0, 25.086415 60.212927000000015 0, 25.086997 60.212544999999984 0, 25.087055 60.21263 0, 25.08743 60.212507999999985 0, 25.087748 60.212557000000004 0, 25.089765 60.21346199999999 0, 25.091015 60.214178000000004 0, 25.09244 60.21480700000001 0)",101339236.0,101338910.0,2024-04-09 06:57:44+00:00,2024-04-09 07:00:26+00:00,['BRUSHING'],2024-04-09 06:57:43+00:00,2024-04-09 06:58:44+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
