Päivämäärä,Mittausverkko,Mittauspaikka,Komponentti,Pitoisuus
15.02.2024,Lahden verkko,Lahti Saimaankatu,PM2.5 24h,19
12.02.2024,Kemin verkko,Kemi Biotuotetehdas,PM2.5 24h,16
12.02.2024,Kuopion verkko,Kuopio Maaherrankatu,PM2.5 24h,22
12.02.2024,Kuopion verkko,Kuopio Niirala,PM2.5 24h,17
12.02.2024,Kuopion verkko,Kuopio Savilahti KYS,PM2.5 24h,17
12.02.2024,Kuopion verkko,Kuopio Tasavallankatu,PM2.5 24h,20
12.02.2024,Kuopion verkko,Kuopio Maaherrankatu,PM10 24h,54
11.02.2024,Kokkolan verkko,Kokkola Ykspihlaja,PM2.5 24h,16
11.02.2024,Kuopion verkko,Kuopio Maaherrankatu,PM2.5 24h,16
11.02.2024,Kuopion verkko,Kuopio Niirala,PM2.5 24h,18
11.02.2024,Kuopion verkko,Kuopio Savilahti KYS,PM2.5 24h,20
11.02.2024,Kuopion verkko,Kuopio Tasavallankatu,PM2.5 24h,19
11.02.2024,Etelä-Karjalan verkko,Lappeenranta Ojala-Tuomela,PM2.5 24h,23
11.02.2024,Etelä-Karjalan verkko,Lappeenranta Pulp,PM2.5 24h,19
11.02.2024,Pietarsaaren seudun verkko,Pietarsaari Bottenviksvägen,PM2.5 24h,17
11.02.2024,Kuopion verkko,Siilinjärvi Sorakuja,PM2.5 24h,19
11.02.2024,Raahen verkko,Raahe Lapaluoto,PM10 24h,60
10.02.2024,Hämeenlinnan verkko,Hämeenlinna Niittykatu,PM2.5 24h,19
10.02.2024,Kokkolan verkko,Kokkola Ykspihlaja,PM2.5 24h,21
10.02.2024,Etelä-Karjalan verkko,Lappeenranta Pulp,PM2.5 24h,22
10.02.2024,Oulun verkko,Oulu Nokela,PM2.5 24h,16
10.02.2024,Pietarsaaren seudun verkko,Pietarsaari Bottenviksvägen,PM2.5 24h,20
10.02.2024,Turun seudun verkko,Turku Kauppatori 2,PM10 24h,54
09.02.2024,Hämeenlinnan verkko,Hämeenlinna Niittykatu,PM2.5 24h,19
09.02.2024,Jyväskylän verkko,Jyväskylä Hannikaisenkatu,PM2.5 24h,22
09.02.2024,Helsingin seudun verkko (HSY),Vantaa Hämeenlinnanväylä,PM2.5 24h,17
09.02.2024,Hämeenlinnan verkko,Hämeenlinna Niittykatu,PM10 24h,51
09.02.2024,Jyväskylän verkko,Jyväskylä Hannikaisenkatu,PM10 24h,58
09.02.2024,Turun seudun verkko,Turku Kauppatori 2,PM10 24h,55
09.02.2024,Helsingin seudun verkko (HSY),Vantaa Hämeenlinnanväylä,PM10 24h,78
08.02.2024,Jyväskylän verkko,Jyväskylä Hannikaisenkatu,PM2.5 24h,17
08.02.2024,Kuopion verkko,Kuopio Tasavallankatu,PM2.5 24h,25
08.02.2024,Turun seudun verkko,Turku Kauppatori 2,PM2.5 24h,17
08.02.2024,Kuopion verkko,Kuopio Tasavallankatu,PM10 24h,126
08.02.2024,Turun seudun verkko,Turku Kauppatori 2,PM10 24h,68
06.02.2024,Kemin verkko,Kemi Biotuotetehdas,PM2.5 24h,17
21.01.2024,Helsingin seudun verkko (HSY),Vantaa Tikkurila Neilikkatie,PM2.5 24h,20
20.01.2024,,Espoo Lintuvaara 2,PM2.5 24h,16
20.01.2024,Etelä-Karjalan verkko,Lappeenranta Tirilä Pekkasenkatu,PM2.5 24h,17
20.01.2024,Turun seudun verkko,Raisio Ihala,PM2.5 24h,18
20.01.2024,Helsingin seudun verkko (HSY),Vantaa Hämeenlinnanväylä,PM2.5 24h,17
20.01.2024,Helsingin seudun verkko (HSY),Vantaa Tikkurila Neilikkatie,PM2.5 24h,17
16.01.2024,Pietarsaaren seudun verkko,Pietarsaari Bottenviksvägen,PM2.5 24h,16
16.01.2024,Raahen verkko,Raahe keskusta,PM2.5 24h,16
07.01.2024,Helsingin seudun verkko (HSY),Espoo Leppävaara Läkkisepänkuja,PM2.5 24h,27
07.01.2024,,Espoo Lintuvaara 2,PM2.5 24h,23
07.01.2024,Helsingin seudun verkko (HSY),Helsinki Vartiokylä Huivipolku,PM2.5 24h,21
07.01.2024,Hämeenlinnan verkko,Hämeenlinna Niittykatu,PM2.5 24h,21
07.01.2024,Jyväskylän verkko,Jyväskylä Jyskä,PM2.5 24h,17
07.01.2024,Porin verkko,Pori Paanakedonkatu,PM2.5 24h,17
07.01.2024,Turun seudun verkko,Raisio Ihala,PM2.5 24h,29
07.01.2024,Tampereen verkko,Tampere Kaleva,PM2.5 24h,17
07.01.2024,Tampereen verkko,Tampere Linja-autoasema,PM2.5 24h,16
07.01.2024,Turun seudun verkko,Turku Kauppatori 2,PM2.5 24h,23
07.01.2024,Helsingin seudun verkko (HSY),Vantaa Hämeenlinnanväylä,PM2.5 24h,22
07.01.2024,Helsingin seudun verkko (HSY),Vantaa Tikkurila Neilikkatie,PM2.5 24h,25
07.01.2024,Lahden verkko,Lahti Laune Pohjoinen Liipolankatu,PM10 24h,66
06.01.2024,Jyväskylän verkko,Jyväskylä Jyskä,PM2.5 24h,27
06.01.2024,Kuopion verkko,Kuopio Maaherrankatu,PM2.5 24h,16
06.01.2024,Kuopion verkko,Kuopio Tasavallankatu,PM2.5 24h,21
06.01.2024,Helsingin seudun verkko (HSY),Vantaa Tikkurila Neilikkatie,PM2.5 24h,19
06.01.2024,Jyväskylän verkko,Jyväskylä Jyskä,PM10 24h,57
06.01.2024,Kuopion verkko,Kuopio Tasavallankatu,PM10 24h,67
05.01.2024,Kuopion verkko,Kuopio Maaherrankatu,PM2.5 24h,21
05.01.2024,Kuopion verkko,Kuopio Niirala,PM2.5 24h,17
05.01.2024,Kuopion verkko,Kuopio Tasavallankatu,PM2.5 24h,27
05.01.2024,Kuopion verkko,Siilinjärvi Sorakuja,PM2.5 24h,31
05.01.2024,Kuopion verkko,Kuopio Maaherrankatu,PM10 24h,63
05.01.2024,Kuopion verkko,Kuopio Tasavallankatu,PM10 24h,79
05.01.2024,Kuopion verkko,Siilinjärvi Sorakuja,PM10 24h,60
04.01.2024,Jyväskylän verkko,Jyväskylä Jyskä,PM2.5 24h,19
04.01.2024,Kuopion verkko,Kuopio Maaherrankatu,PM2.5 24h,19
04.01.2024,Kuopion verkko,Kuopio Tasavallankatu,PM2.5 24h,22
04.01.2024,Pietarsaaren seudun verkko,Pietarsaari Bottenviksvägen,PM2.5 24h,16
04.01.2024,Kuopion verkko,Siilinjärvi Sorakuja,PM2.5 24h,17
04.01.2024,Jyväskylän verkko,Jyväskylä Jyskä,PM10 24h,57
04.01.2024,Kuopion verkko,Kuopio Maaherrankatu,PM10 24h,64
04.01.2024,Kuopion verkko,Siilinjärvi Sorakuja,PM10 24h,57
03.01.2024,Jyväskylän verkko,Jyväskylä Jyskä,PM2.5 24h,16
03.01.2024,Kuopion verkko,Kuopio Savilahti KYS,PM10 24h,51
02.01.2024,Jyväskylän verkko,Jyväskylä Jyskä,PM2.5 24h,24
02.01.2024,Kemin verkko,Kemi Biotuotetehdas,PM2.5 24h,16
02.01.2024,Jyväskylän verkko,Jyväskylä Jyskä,PM10 24h,71
01.01.2024,Jyväskylän verkko,Jyväskylä Jyskä,PM2.5 24h,19
01.01.2024,Kemin verkko,Kemi Biotuotetehdas,PM2.5 24h,20
01.01.2024,Porin verkko,Pori Paanakedonkatu,PM2.5 24h,24
01.01.2024,Rovaniemen verkko,Rovaniemi Rovakatu,PM2.5 24h,18
01.01.2024,Seinäjoen verkko,Seinäjoki Vapaudentie 6a,PM10 24h,69
