geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (240006.7372034043 6809341.915508943 0, 240145.7522990567 6809212.263695115 0)",100572654.0,100572521.0,2024-04-03 15:06:00+00:00,2024-04-03 15:06:14+00:00,['BRUSHING'],2024-04-03 15:03:58+00:00,2024-04-03 15:04:53+00:00,122.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (240145.7522990567 6809212.263695115 0, 240266.5784508236 6809119.523734475 0)",100572734.0,100572654.0,2024-04-03 15:07:00+00:00,2024-04-03 15:07:15+00:00,['BRUSHING'],2024-04-03 15:04:53+00:00,2024-04-03 15:06:00+00:00,149.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (240266.5784508236 6809119.523734475 0, 240317.7766295957 6809066.967074973 0, 240381.5893805377 6808950.086049398 0)",100572868.0,100572734.0,2024-04-03 15:08:00+00:00,2024-04-03 15:08:16+00:00,['BRUSHING'],2024-04-03 15:06:00+00:00,2024-04-03 15:06:55+00:00,146.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (240381.5893805377 6808950.086049398 0, 240473.2251028601 6808776.804368888 0)",100572946.0,100572868.0,2024-04-03 15:09:00+00:00,2024-04-03 15:09:17+00:00,['BRUSHING'],2024-04-03 15:06:55+00:00,2024-04-03 15:07:50+00:00,147.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (240473.2251028601 6808776.804368888 0, 240553.9725528544 6808631.054421951 0)",100573032.0,100572946.0,2024-04-03 15:10:00+00:00,2024-04-03 15:10:18+00:00,['BRUSHING'],2024-04-03 15:07:50+00:00,2024-04-03 15:08:56+00:00,136.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (240553.9725528544 6808631.054421951 0, 240606.2794622271 6808534.039956447 0, 240677.034471929 6808441.578873779 0)",100573150.0,100573032.0,2024-04-03 15:11:00+00:00,2024-04-03 15:11:19+00:00,['BRUSHING'],2024-04-03 15:08:56+00:00,2024-04-03 15:10:00+00:00,149.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (240876.6476903605 6808178.002688573 0, 240770.018949823 6808263.624208475 0, 240702.9857573433 6808384.535876535 0, 240613.2865837345 6808489.58498832 0, 240559.0493051611 6808616.255570235 0, 240415.9843348414 6808855.072871364 0)",101943165.0,101942916.0,2024-04-16 07:37:00+00:00,2024-04-16 07:37:19+00:00,['BRUSHING'],2024-04-16 07:34:58+00:00,2024-04-16 07:35:53+00:00,308.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (240415.9843348414 6808855.072871364 0, 240356.3274379183 6808979.468691719 0, 240279.3064216007 6809093.533819404 0, 240169.0884074597 6809177.992158077 0, 239968.228264538 6809370.054185826 0)",101943299.0,101943165.0,2024-04-16 07:38:00+00:00,2024-04-16 07:38:20+00:00,['BRUSHING'],2024-04-16 07:35:53+00:00,2024-04-16 07:36:54+00:00,272.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (239968.228264538 6809370.054185826 0, 239873.5928483854 6809472.365290239 0, 239797.7971926611 6809572.266324468 0, 239788.5189402112 6809609.850950295 0, 239804.4686672277 6809737.109900566 0, 239795.3252854322 6809772.895802914 0, 239776.8448733417 6809805.913582406 0, 239750.7629657632 6809832.791753038 0, 239705.4171112075 6809856.302334798 0, 239668.2720937681 6809863.773219398 0, 239528.655282947 6809856.210462385 0)",101943487.0,101943299.0,2024-04-16 07:39:00+00:00,2024-04-16 07:39:21+00:00,['BRUSHING'],2024-04-16 07:36:54+00:00,2024-04-16 07:37:59+00:00,334.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (239528.655282947 6809856.210462385 0, 239465.0409194454 6809853.029955771 0, 239427.4701264165 6809861.988599644 0, 239394.4435937433 6809879.998444595 0, 239291.2716670664 6809971.89931477 0, 239113.2406497926 6810186.459019347 0, 239073.0059442606 6810304.621989746 0, 238999.8193118119 6810423.018914515 0)",101943730.0,101943487.0,2024-04-16 07:40:00+00:00,2024-04-16 07:40:23+00:00,['BRUSHING'],2024-04-16 07:37:59+00:00,2024-04-16 07:38:54+00:00,319.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (239195.4900233819 6810082.814585419 0, 239283.2907302435 6809978.64531687 0, 239417.7021439643 6809864.95511148 0, 239489.2320407097 6809846.860923434 0, 239688.5632447956 6809856.443709848 0, 239756.2870423668 6809824.777154196 0, 239781.6486743246 6809796.164145308 0, 239798.5008198036 6809761.479323877 0)",101951024.0,101950786.0,2024-04-16 08:20:00+00:00,2024-04-16 08:20:20+00:00,['BRUSHING'],2024-04-16 08:17:59+00:00,2024-04-16 08:18:53+00:00,128.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (239798.5008198036 6809761.479323877 0, 239806.4800001943 6809723.768110575 0, 239805.391149296 6809686.175192197 0, 239791.4921408878 6809612.982684555 0, 239795.3625422018 6809574.907596475 0, 239813.5895317726 6809541.350035143 0, 239997.1205781617 6809334.695827371 0, 240200.5007231417 6809151.167684802 0)",101951138.0,101951024.0,2024-04-16 08:21:00+00:00,2024-04-16 08:21:21+00:00,['BRUSHING'],2024-04-16 08:18:53+00:00,2024-04-16 08:19:59+00:00,151.0,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (240200.5007231417 6809151.167684802 0, 240304.4130925584 6809061.367261512 0, 240373.3571617456 6808941.979647008 0, 240431.8972941977 6808816.996683053 0, 240575.1841951408 6808580.399599845 0, 240634.9606887336 6808456.670905477 0)",101951386.0,101951138.0,2024-04-16 08:22:00+00:00,2024-04-16 08:22:23+00:00,['BRUSHING'],2024-04-16 08:19:59+00:00,2024-04-16 08:21:00+00:00,156.0,state-roads,Harja/Väylävirasto,True,True,False
