geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (325576.1630708152 6823298.084983824 0, 325578.2397593787 6823294.856340965 0)",104812218.0,104812213.0,2024-05-12 22:50:00+00:00,2024-05-12 22:50:40+00:00,['BRUSHING'],2024-05-12 22:47:19+00:00,2024-05-12 22:48:22+00:00,126.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (325578.2397593787 6823294.856340965 0, 325584.5623852411 6823290.186658856 0)",104812235.0,104812218.0,2024-05-12 22:51:00+00:00,2024-05-12 22:51:40+00:00,['BRUSHING'],2024-05-12 22:48:22+00:00,2024-05-12 22:50:00+00:00,115.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (325584.5623852411 6823290.186658856 0, 325587.5040717118 6823290.373324588 0)",104812255.0,104812235.0,2024-05-12 22:52:00+00:00,2024-05-12 22:52:40+00:00,['BRUSHING'],2024-05-12 22:50:00+00:00,2024-05-12 22:50:53+00:00,209.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (325587.5040717118 6823290.373324588 0, 325587.8818607564 6823288.345951591 0)",104812266.0,104812255.0,2024-05-12 22:53:00+00:00,2024-05-12 22:53:40+00:00,['BRUSHING'],2024-05-12 22:50:53+00:00,2024-05-12 22:51:35+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (325587.8818607564 6823288.345951591 0, 325590.6891134433 6823285.861575376 0)",104812276.0,104812266.0,2024-05-12 22:54:00+00:00,2024-05-12 22:54:40+00:00,['BRUSHING'],2024-05-12 22:51:35+00:00,2024-05-12 22:52:37+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (325590.6891134433 6823285.861575376 0, 325590.1153393355 6823286.113604662 0)",104812291.0,104812276.0,2024-05-12 22:55:00+00:00,2024-05-12 22:55:40+00:00,['BRUSHING'],2024-05-12 22:52:37+00:00,2024-05-12 22:53:57+00:00,122.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (325590.1153393355 6823286.113604662 0, 325590.7117933494 6823294.786470487 0, 325608.243913067 6823280.849788068 0)",104812312.0,104812291.0,2024-05-12 22:56:00+00:00,2024-05-12 22:56:41+00:00,['BRUSHING'],2024-05-12 22:53:57+00:00,2024-05-12 22:54:49+00:00,127.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (325608.243913067 6823280.849788068 0, 325589.3372832132 6823287.603245788 0, 325597.3085740458 6823284.970543913 0)",104812323.0,104812312.0,2024-05-12 22:57:00+00:00,2024-05-12 22:57:41+00:00,['BRUSHING'],2024-05-12 22:54:49+00:00,2024-05-12 22:55:58+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (325597.3085740458 6823284.970543913 0, 325601.0002575358 6823280.991184051 0)",104812340.0,104812323.0,2024-05-12 22:58:00+00:00,2024-05-12 22:58:41+00:00,['BRUSHING'],2024-05-12 22:55:58+00:00,2024-05-12 22:56:43+00:00,121.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (325601.0002575358 6823280.991184051 0, 325603.9894690088 6823278.943963814 0)",104812345.0,104812340.0,2024-05-12 22:59:00+00:00,2024-05-12 22:59:41+00:00,['BRUSHING'],2024-05-12 22:56:43+00:00,2024-05-12 22:57:36+00:00,131.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (325603.9894690088 6823278.943963814 0, 325608.2857771504 6823276.384664529 0)",104812360.0,104812345.0,2024-05-12 23:00:00+00:00,2024-05-12 23:00:41+00:00,['BRUSHING'],2024-05-12 22:57:36+00:00,2024-05-12 22:58:57+00:00,300.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (325608.2857771504 6823276.384664529 0, 325613.6262211885 6823278.68214398 0)",104812380.0,104812360.0,2024-05-12 23:01:00+00:00,2024-05-12 23:01:41+00:00,['BRUSHING'],2024-05-12 22:58:57+00:00,2024-05-12 22:59:55+00:00,120.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (325613.6262211885 6823278.68214398 0, 325628.1412733857 6823266.23630863 0, 325610.1302703265 6823275.957114254 0, 325616.8028296797 6823270.823584128 0)",104812394.0,104812380.0,2024-05-12 23:02:00+00:00,2024-05-12 23:02:42+00:00,['BRUSHING'],2024-05-12 22:59:55+00:00,2024-05-12 23:00:48+00:00,117.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (325616.8028296797 6823270.823584128 0, 325621.1159582398 6823268.59818172 0)",104812406.0,104812394.0,2024-05-12 23:03:00+00:00,2024-05-12 23:03:42+00:00,['BRUSHING'],2024-05-12 23:00:48+00:00,2024-05-12 23:01:43+00:00,116.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (325621.1159582398 6823268.59818172 0, 325624.5754347065 6823267.419919414 0, 325620.9284646431 6823270.169672114 0)",104812417.0,104812406.0,2024-05-12 23:04:00+00:00,2024-05-12 23:04:42+00:00,['BRUSHING'],2024-05-12 23:01:43+00:00,2024-05-12 23:03:00+00:00,317.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (325620.9284646431 6823270.169672114 0, 325616.8813925461 6823278.741483971 0, 325626.8596240892 6823278.908818243 0)",104812435.0,104812417.0,2024-05-12 23:05:00+00:00,2024-05-12 23:05:42+00:00,['BRUSHING'],2024-05-12 23:03:00+00:00,2024-05-12 23:03:58+00:00,337.0,state-roads,Harja/Väylävirasto,True,False,False
