geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (224064.9893583347 6826376.972224717 0, 224044.9998698449 6826404.067030855 0, 223976.3776159028 6826583.46369194 0, 223952.7132342209 6826597.989436045 0, 223911.3823398193 6826600.278333632 0)",101288481.0,101288249.0,2024-04-08 19:12:36+00:00,2024-04-08 19:15:23+00:00,['BRUSHING'],2024-04-08 19:12:35+00:00,2024-04-08 19:14:34+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (223911.3823398193 6826600.278333632 0, 223918.3817957232 6826608.891922388 0, 223967.092665098 6826597.178548018 0, 223976.3778372894 6826610.307717098 0, 223984.6980703967 6826710.645120426 0, 224006.5912081336 6826852.403531765 0, 224063.1663814168 6827093.069022312 0)",101288624.0,101288481.0,2024-04-08 19:14:35+00:00,2024-04-08 19:17:24+00:00,['BRUSHING'],2024-04-08 19:14:34+00:00,2024-04-08 19:15:35+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (224063.1663814168 6827093.069022312 0, 224083.5328516862 6827205.644520034 0, 224111.5425933769 6827226.900470991 0, 224332.5509063656 6827263.203965035 0, 224380.499668335 6827258.155319665 0, 224431.1481398477 6827276.939943265 0, 224604.9104903881 6827304.382828804 0)",101288698.0,101288624.0,2024-04-08 19:15:36+00:00,2024-04-08 19:18:25+00:00,['BRUSHING'],2024-04-08 19:15:35+00:00,2024-04-08 19:16:36+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (224604.9104903881 6827304.382828804 0, 224820.5030878934 6827338.01532481 0, 224858.2025471163 6827332.557723954 0, 224899.0775885548 6827347.539927051 0, 225107.3022646002 6827381.4396269 0, 225212.6392368545 6827428.327521902 0, 225294.6069420081 6827505.593802732 0)",101288771.0,101288698.0,2024-04-08 19:16:37+00:00,2024-04-08 19:19:26+00:00,['BRUSHING'],2024-04-08 19:16:36+00:00,2024-04-08 19:17:37+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (225349.8662389591 6827694.478340624 0, 225330.8328651846 6827586.044106046 0, 225319.409366646 6827552.613941931 0, 225267.7329550006 6827481.666698951 0, 225218.9332284514 6827440.242795277 0, 225150.4409406319 6827403.403012034 0, 225079.1534869075 6827379.872523558 0, 224886.1798679345 6827352.144169376 0, 224830.9346801863 6827352.173601767 0)",101292428.0,101292352.0,2024-04-08 20:06:14+00:00,2024-04-08 20:09:07+00:00,['BRUSHING'],2024-04-08 20:06:13+00:00,2024-04-08 20:07:14+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (224830.9346801863 6827352.173601767 0, 224785.4447314302 6827335.657693544 0, 224424.7168846814 6827281.478517409 0, 224369.3721661106 6827284.990381403 0, 224323.1789849675 6827265.739946594 0, 224204.9690055258 6827248.871871738 0)",101292504.0,101292428.0,2024-04-08 20:07:15+00:00,2024-04-08 20:10:08+00:00,['BRUSHING'],2024-04-08 20:07:14+00:00,2024-04-08 20:08:15+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (224204.9690055258 6827248.871871738 0, 224106.4314728255 6827235.920295651 0, 224070.343497206 6827243.494562348 0, 224058.6859713614 6827231.449242835 0, 224069.2885389338 6827183.962541595 0, 224060.8367591216 6827108.801888388 0, 224001.3646339596 6826873.400645505 0, 223983.3523736154 6826778.309935436 0)",101292589.0,101292504.0,2024-04-08 20:08:16+00:00,2024-04-08 20:11:09+00:00,['BRUSHING'],2024-04-08 20:08:15+00:00,2024-04-08 20:09:16+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (223983.3523736154 6826778.309935436 0, 223973.499192142 6826677.53548759 0, 223981.5693879595 6826568.732975222 0, 223997.2690958506 6826509.990477395 0, 224043.2016044895 6826386.873617724 0, 224041.9972987691 6826355.651634629 0, 224060.8972030087 6826330.992517256 0, 224137.4890174872 6826134.633729662 0)",101292672.0,101292589.0,2024-04-08 20:09:17+00:00,2024-04-08 20:12:10+00:00,['BRUSHING'],2024-04-08 20:09:16+00:00,2024-04-08 20:10:17+00:00,,state-roads,Harja/Väylävirasto,True,False,False
