geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (382316.5238126565 6683789.951858683 0, 382378.8535432882 6683678.386912963 0, 382398.6834618065 6683627.261108166 0, 382436.1844612397 6683483.731893939 0, 382439.2739197309 6683442.173300602 0)",99091072.0,99090794.0,2024-03-22 08:50:41+00:00,2024-03-22 08:53:04+00:00,['BRUSHING'],2024-03-22 08:50:42+00:00,2024-03-22 08:53:02+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (382439.2739197309 6683442.173300602 0, 382441.1721993755 6683301.797854278 0, 382435.1098705761 6683075.86327329 0)",99091330.0,99091072.0,2024-03-22 08:53:01+00:00,2024-03-22 08:55:06+00:00,['BRUSHING'],2024-03-22 08:53:02+00:00,2024-03-22 08:55:39+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (382435.1098705761 6683075.86327329 0, 382436.1222359808 6682859.842656696 0, 382454.0767146223 6682691.868032145 0)",99091568.0,99091330.0,2024-03-22 08:55:37+00:00,2024-03-22 08:58:08+00:00,['BRUSHING'],2024-03-22 08:55:39+00:00,2024-03-22 08:58:36+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382454.0767146223 6682691.868032145 0, 382496.4983168996 6682454.787627602 0, 382532.8073923293 6682301.156921756 0)",99091837.0,99091568.0,2024-03-22 08:58:34+00:00,2024-03-22 09:01:10+00:00,['BRUSHING'],2024-03-22 08:58:36+00:00,2024-03-22 09:01:27+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382478.5300787255 6682581.191887043 0, 382447.2756168708 6682795.288762916 0, 382440.2337491191 6682916.994917872 0)",99098904.0,99098735.0,2024-03-22 10:18:14+00:00,2024-03-22 10:21:06+00:00,['BRUSHING'],2024-03-22 10:18:16+00:00,2024-03-22 10:20:30+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382440.2337491191 6682916.994917872 0, 382441.1206843666 6683128.384939439 0, 382446.4422363538 6683271.202471521 0)",99099087.0,99098904.0,2024-03-22 10:20:28+00:00,2024-03-22 10:23:08+00:00,['BRUSHING'],2024-03-22 10:20:30+00:00,2024-03-22 10:22:45+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (382446.4422363538 6683271.202471521 0, 382447.2086080399 6683399.789890182 0, 382441.9271644889 6683484.995664611 0, 382413.9521259544 6683611.500369594 0)",99099281.0,99099087.0,2024-03-22 10:22:43+00:00,2024-03-22 10:25:09+00:00,['BRUSHING'],2024-03-22 10:22:45+00:00,2024-03-22 10:24:57+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (382413.9521259544 6683611.500369594 0, 382379.0940059893 6683694.427833579 0, 382252.2398039493 6683924.874051526 0)",99099504.0,99099281.0,2024-03-22 10:24:55+00:00,2024-03-22 10:27:12+00:00,['BRUSHING'],2024-03-22 10:24:57+00:00,2024-03-22 10:27:28+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (382252.2398039493 6683924.874051526 0, 382214.2193626018 6684029.638145081 0, 382142.5682764365 6684285.72335071 0)",99099723.0,99099504.0,2024-03-22 10:27:26+00:00,2024-03-22 10:30:14+00:00,['BRUSHING'],2024-03-22 10:27:28+00:00,2024-03-22 10:29:37+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (382142.5682764365 6684285.72335071 0, 382048.6180943482 6684611.742002032 0)",99099912.0,99099723.0,2024-03-22 10:29:35+00:00,2024-03-22 10:32:16+00:00,['BRUSHING'],2024-03-22 10:29:37+00:00,2024-03-22 10:31:58+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382589.686856786 6682895.13104166 0, 382592.9998947133 6682893.129807765 0)",99608799.0,,2024-03-26 16:11:00+00:00,2024-03-26 16:11:17+00:00,['BRUSHING'],2024-03-26 16:08:22+00:00,2024-03-26 16:09:42+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382592.9998947133 6682893.129807765 0, 382594.1952315479 6682892.42265313 0)",99608843.0,99608799.0,2024-03-26 16:12:00+00:00,2024-03-26 16:12:17+00:00,['BRUSHING'],2024-03-26 16:09:42+00:00,2024-03-26 16:10:45+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
POINT Z (382594.1952315479 6682892.42265313 0),99608883.0,99608843.0,2024-03-26 16:13:00+00:00,2024-03-26 16:13:17+00:00,['BRUSHING'],2024-03-26 16:10:45+00:00,2024-03-26 16:11:48+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
POINT Z (382594.1952315479 6682892.42265313 0),99608923.0,99608883.0,2024-03-26 16:14:00+00:00,2024-03-26 16:14:18+00:00,['BRUSHING'],2024-03-26 16:11:48+00:00,2024-03-26 16:12:51+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382594.1952315479 6682892.42265313 0, 382593.0746917072 6682892.012914044 0)",99608964.0,99608923.0,2024-03-26 16:15:00+00:00,2024-03-26 16:15:18+00:00,['BRUSHING'],2024-03-26 16:12:51+00:00,2024-03-26 16:13:54+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382593.0746917072 6682892.012914044 0, 382591.7436568284 6682891.9442946 0)",99609006.0,99608964.0,2024-03-26 16:16:00+00:00,2024-03-26 16:16:18+00:00,['BRUSHING'],2024-03-26 16:13:54+00:00,2024-03-26 16:14:36+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382591.7436568284 6682891.9442946 0, 382591.0389499267 6682892.412765231 0)",99609024.0,99609006.0,2024-03-26 16:17:00+00:00,2024-03-26 16:17:18+00:00,['BRUSHING'],2024-03-26 16:14:36+00:00,2024-03-26 16:17:45+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
POINT Z (382591.0389499267 6682892.412765231 0),99609150.0,99609024.0,2024-03-26 16:20:00+00:00,2024-03-26 16:20:19+00:00,['BRUSHING'],2024-03-26 16:17:45+00:00,2024-03-26 16:18:48+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
POINT Z (382591.0389499267 6682892.412765231 0),99609190.0,99609150.0,2024-03-26 16:21:00+00:00,2024-03-26 16:21:20+00:00,['BRUSHING'],2024-03-26 16:18:48+00:00,2024-03-26 16:19:51+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
POINT Z (382591.0389499267 6682892.412765231 0),99609234.0,99609190.0,2024-03-26 16:22:00+00:00,2024-03-26 16:22:20+00:00,['BRUSHING'],2024-03-26 16:19:51+00:00,2024-03-26 16:21:57+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382591.0389499267 6682892.412765231 0, 382587.844394167 6682886.051535659 0)",99609320.0,99609234.0,2024-03-26 16:24:00+00:00,2024-03-26 16:24:21+00:00,['BRUSHING'],2024-03-26 16:21:57+00:00,2024-03-26 16:23:00+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382587.844394167 6682886.051535659 0, 382587.8567141708 6682884.713754803 0)",99609363.0,99609320.0,2024-03-26 16:25:00+00:00,2024-03-26 16:25:21+00:00,['BRUSHING'],2024-03-26 16:23:00+00:00,2024-03-26 16:24:45+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
POINT Z (382587.8567141708 6682884.713754803 0),99609411.0,99609363.0,2024-03-26 16:27:00+00:00,2024-03-26 16:27:22+00:00,['BRUSHING'],2024-03-26 16:24:45+00:00,2024-03-26 16:25:54+00:00,266.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382587.8567141708 6682884.713754803 0, 382605.0564269077 6682897.868520858 0, 382608.5244760584 6682864.545236738 0, 382592.761142527 6682853.01596089 0, 382556.4893679861 6682852.845868208 0)",99609456.0,99609411.0,2024-03-26 16:28:00+00:00,2024-03-26 16:28:22+00:00,['BRUSHING'],2024-03-26 16:25:54+00:00,2024-03-26 16:26:59+00:00,178.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382556.4893679861 6682852.845868208 0, 382533.7027376199 6682851.907636499 0, 382519.6838874033 6682863.61529987 0, 382516.4333120542 6682877.873956568 0, 382513.7758432407 6682872.721429496 0, 382550.5271337522 6682844.790571326 0, 382557.0943358057 6682773.586351304 0)",99609495.0,99609456.0,2024-03-26 16:29:00+00:00,2024-03-26 16:29:23+00:00,['BRUSHING'],2024-03-26 16:26:59+00:00,2024-03-26 16:27:46+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382557.0943358057 6682773.586351304 0, 382539.7857687641 6682765.673376401 0, 382552.975677221 6682769.483864007 0, 382552.0545531871 6682752.907652327 0)",99609505.0,99609495.0,2024-03-26 16:30:00+00:00,2024-03-26 16:30:23+00:00,['BRUSHING'],2024-03-26 16:27:46+00:00,2024-03-26 16:28:49+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
POINT Z (382552.0545531871 6682752.907652327 0),99609540.0,99609505.0,2024-03-26 16:31:00+00:00,2024-03-26 16:31:23+00:00,['BRUSHING'],2024-03-26 16:28:49+00:00,2024-03-26 16:29:52+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
POINT Z (382552.0545531871 6682752.907652327 0),99609574.0,99609540.0,2024-03-26 16:32:00+00:00,2024-03-26 16:32:23+00:00,['BRUSHING'],2024-03-26 16:29:52+00:00,2024-03-26 16:30:55+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
POINT Z (382552.0545531871 6682752.907652327 0),99609620.0,99609574.0,2024-03-26 16:33:00+00:00,2024-03-26 16:33:24+00:00,['BRUSHING'],2024-03-26 16:30:55+00:00,2024-03-26 16:31:58+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
POINT Z (382552.0545531871 6682752.907652327 0),99609664.0,99609620.0,2024-03-26 16:34:00+00:00,2024-03-26 16:34:24+00:00,['BRUSHING'],2024-03-26 16:31:58+00:00,2024-03-26 16:33:43+00:00,0.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382552.0545531871 6682752.907652327 0, 382551.9940965434 6682754.469880348 0)",99609713.0,99609664.0,2024-03-26 16:36:00+00:00,2024-03-26 16:36:25+00:00,['BRUSHING'],2024-03-26 16:33:43+00:00,2024-03-26 16:34:57+00:00,355.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382551.9940965434 6682754.469880348 0, 382549.3682248383 6682758.900900212 0, 382558.3004569235 6682773.213185498 0, 382554.8872142973 6682866.717080385 0)",99609763.0,99609713.0,2024-03-26 16:37:00+00:00,2024-03-26 16:37:25+00:00,['BRUSHING'],2024-03-26 16:34:57+00:00,2024-03-26 16:35:59+00:00,37.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382554.8872142973 6682866.717080385 0, 382548.9366522614 6682917.506352185 0, 382558.599027471 6683002.676530815 0, 382567.6419427624 6683008.403701507 0)",99609801.0,99609763.0,2024-03-26 16:38:00+00:00,2024-03-26 16:38:25+00:00,['BRUSHING'],2024-03-26 16:35:59+00:00,2024-03-26 16:36:56+00:00,234.0,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (382567.6419427624 6683008.403701507 0, 382600.0105946434 6682997.443107161 0, 382605.8833933159 6682963.150844422 0, 382629.5856705086 6682958.153262294 0, 382638.4893175095 6682947.502136382 0, 382642.6512672318 6682878.938805678 0, 382624.0600881856 6682867.277458569 0)",99609828.0,99609801.0,2024-03-26 16:39:00+00:00,2024-03-26 16:39:26+00:00,['BRUSHING'],2024-03-26 16:36:56+00:00,2024-03-26 16:37:55+00:00,351.0,state-roads,Harja/Väylävirasto,True,False,False
