"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Hengitettävät hiukkaset <10 µm [µg/m3]"
"Virolahti Harju","2024","3","21","12:00","11"
"Virolahti Harju","2024","3","21","13:00","11.4"
"Virolahti Harju","2024","3","21","14:00","12.4"
"Virolahti Harju","2024","3","21","15:00","12"
"Virolahti Harju","2024","3","21","16:00","11.2"
"Virolahti Harju","2024","3","21","17:00","10.2"
"Virolahti Harju","2024","3","21","18:00","12.3"
"Virolahti Harju","2024","3","21","19:00","14.5"
"Virolahti Harju","2024","3","21","20:00","15.6"
"Virolahti Harju","2024","3","21","21:00","16.4"
"Virolahti Harju","2024","3","21","22:00","15.3"
"Virolahti Harju","2024","3","21","23:00","13.6"
"Virolahti Harju","2024","3","22","00:00","12.8"
"Virolahti Harju","2024","3","22","01:00","11.1"
"Virolahti Harju","2024","3","22","02:00","9.6"
"Virolahti Harju","2024","3","22","03:00","8.8"
"Virolahti Harju","2024","3","22","04:00","7.8"
"Virolahti Harju","2024","3","22","05:00","6.3"
"Virolahti Harju","2024","3","22","06:00","5.8"
"Virolahti Harju","2024","3","22","07:00","4.8"
"Virolahti Harju","2024","3","22","08:00","3.8"
"Virolahti Harju","2024","3","22","09:00","3"
"Virolahti Harju","2024","3","22","10:00","2"
"Virolahti Harju","2024","3","22","11:00","1.5"
"Virolahti Harju","2024","3","22","12:00","1.7"
"Virolahti Harju","2024","3","22","13:00","2.3"
"Virolahti Harju","2024","3","22","14:00","1.9"
"Virolahti Harju","2024","3","22","15:00","2.2"
"Virolahti Harju","2024","3","22","16:00","3"
"Virolahti Harju","2024","3","22","17:00","2.2"
"Virolahti Harju","2024","3","22","18:00","2"
"Virolahti Harju","2024","3","22","19:00","2.9"
"Virolahti Harju","2024","3","22","20:00","2.5"
"Virolahti Harju","2024","3","22","21:00","1.8"
"Virolahti Harju","2024","3","22","22:00","1.7"
"Virolahti Harju","2024","3","22","23:00","1.5"
"Virolahti Harju","2024","3","23","00:00","0.7"
"Virolahti Harju","2024","3","23","01:00","0.4"
"Virolahti Harju","2024","3","23","02:00","0.5"
"Virolahti Harju","2024","3","23","03:00","1.3"
"Virolahti Harju","2024","3","23","04:00","1.1"
"Virolahti Harju","2024","3","23","05:00","1.3"
"Virolahti Harju","2024","3","23","06:00","1.5"
"Virolahti Harju","2024","3","23","07:00","1.3"
"Virolahti Harju","2024","3","23","08:00","1.2"
"Virolahti Harju","2024","3","23","09:00","0.8"
"Virolahti Harju","2024","3","23","10:00","1"
"Virolahti Harju","2024","3","23","11:00","1.1"
"Virolahti Harju","2024","3","23","12:00","1.2"
"Virolahti Harju","2024","3","23","13:00","1.5"
"Virolahti Harju","2024","3","23","14:00","2.1"
"Virolahti Harju","2024","3","23","15:00","2.5"
"Virolahti Harju","2024","3","23","16:00","2"
"Virolahti Harju","2024","3","23","17:00","1.5"
"Virolahti Harju","2024","3","23","18:00","1.9"
"Virolahti Harju","2024","3","23","19:00","2.2"
"Virolahti Harju","2024","3","23","20:00","3"
"Virolahti Harju","2024","3","23","21:00","2.7"
"Virolahti Harju","2024","3","23","22:00","3.4"
"Virolahti Harju","2024","3","23","23:00","5"
"Virolahti Harju","2024","3","24","00:00","5.6"
"Virolahti Harju","2024","3","24","01:00","6.3"
"Virolahti Harju","2024","3","24","02:00","5.9"
"Virolahti Harju","2024","3","24","03:00","5.1"
"Virolahti Harju","2024","3","24","04:00","5.3"
"Virolahti Harju","2024","3","24","05:00","2.2"
"Virolahti Harju","2024","3","24","06:00","1.4"
"Virolahti Harju","2024","3","24","07:00","1.7"
"Virolahti Harju","2024","3","24","08:00","1.4"
"Virolahti Harju","2024","3","24","09:00","3.4"
"Virolahti Harju","2024","3","24","10:00","5.2"
"Virolahti Harju","2024","3","24","11:00","3.9"
"Virolahti Harju","2024","3","24","12:00","3.4"
"Virolahti Harju","2024","3","24","13:00","2.7"
"Virolahti Harju","2024","3","24","14:00","2"
"Virolahti Harju","2024","3","24","15:00","2.2"
"Virolahti Harju","2024","3","24","16:00","2.2"
"Virolahti Harju","2024","3","24","17:00","2.5"
"Virolahti Harju","2024","3","24","18:00","2.9"
"Virolahti Harju","2024","3","24","19:00","2"
"Virolahti Harju","2024","3","24","20:00","2.4"
"Virolahti Harju","2024","3","24","21:00","3"
"Virolahti Harju","2024","3","24","22:00","4.3"
"Virolahti Harju","2024","3","24","23:00","4.4"
"Virolahti Harju","2024","3","25","00:00","3.1"
"Virolahti Harju","2024","3","25","01:00","3.1"
"Virolahti Harju","2024","3","25","02:00","2.5"
"Virolahti Harju","2024","3","25","03:00","2.3"
"Virolahti Harju","2024","3","25","04:00","1.8"
"Virolahti Harju","2024","3","25","05:00","2.6"
"Virolahti Harju","2024","3","25","06:00","3"
"Virolahti Harju","2024","3","25","07:00","5"
"Virolahti Harju","2024","3","25","08:00","4.3"
"Virolahti Harju","2024","3","25","09:00","4.2"
"Virolahti Harju","2024","3","25","10:00","3.9"
"Virolahti Harju","2024","3","25","11:00","2.4"
"Virolahti Harju","2024","3","25","12:00","2.7"
"Virolahti Harju","2024","3","25","13:00","2.7"
"Virolahti Harju","2024","3","25","14:00","3.5"
"Virolahti Harju","2024","3","25","15:00","4.3"
"Virolahti Harju","2024","3","25","16:00","4.2"
"Virolahti Harju","2024","3","25","17:00","5.4"
"Virolahti Harju","2024","3","25","18:00","5.5"
"Virolahti Harju","2024","3","25","19:00","5"
"Virolahti Harju","2024","3","25","20:00","4.5"
"Virolahti Harju","2024","3","25","21:00","6.1"
"Virolahti Harju","2024","3","25","22:00","3.2"
"Virolahti Harju","2024","3","25","23:00","2.9"
"Virolahti Harju","2024","3","26","00:00","2.3"
"Virolahti Harju","2024","3","26","01:00","2.2"
"Virolahti Harju","2024","3","26","02:00","3"
"Virolahti Harju","2024","3","26","03:00","2.7"
"Virolahti Harju","2024","3","26","04:00","2.3"
"Virolahti Harju","2024","3","26","05:00","2.9"
"Virolahti Harju","2024","3","26","06:00","3.6"
"Virolahti Harju","2024","3","26","07:00","4.2"
"Virolahti Harju","2024","3","26","08:00","4.9"
"Virolahti Harju","2024","3","26","09:00","5"
"Virolahti Harju","2024","3","26","10:00","3.2"
"Virolahti Harju","2024","3","26","11:00","2.7"
"Virolahti Harju","2024","3","26","12:00","3.1"
"Virolahti Harju","2024","3","26","13:00","3.3"
"Virolahti Harju","2024","3","26","14:00","3"
"Virolahti Harju","2024","3","26","15:00","2.3"
"Virolahti Harju","2024","3","26","16:00","2"
"Virolahti Harju","2024","3","26","17:00","1.9"
"Virolahti Harju","2024","3","26","18:00","1.9"
"Virolahti Harju","2024","3","26","19:00","2.2"
"Virolahti Harju","2024","3","26","20:00","2.6"
"Virolahti Harju","2024","3","26","21:00","3.4"
"Virolahti Harju","2024","3","26","22:00","3.4"
"Virolahti Harju","2024","3","26","23:00","2.8"
"Virolahti Harju","2024","3","27","00:00","2.7"
"Virolahti Harju","2024","3","27","01:00","3.1"
"Virolahti Harju","2024","3","27","02:00","2.1"
"Virolahti Harju","2024","3","27","03:00","2.5"
"Virolahti Harju","2024","3","27","04:00","3.2"
"Virolahti Harju","2024","3","27","05:00","3.8"
"Virolahti Harju","2024","3","27","06:00","4.4"
"Virolahti Harju","2024","3","27","07:00","2.5"
"Virolahti Harju","2024","3","27","08:00","4.1"
