pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
239;vt1_Kaarina;20240412;*;;*;67;57;35;33;63;206;832;1455;1166;969;884;1019;1107;1221;1614;1945;1899;1640;1346;956;818;535;435;271;20573
239;vt1_Kaarina;20240413;*;;*;172;121;72;68;44;78;202;370;553;890;1109;1454;1441;1381;1375;1391;1316;1111;1100;823;684;474;321;274;16824
239;vt1_Kaarina;20240414;*;;*;176;121;98;78;44;48;119;219;255;451;714;980;1245;1230;1247;1239;1303;1257;1026;922;747;397;186;91;14193
239;vt1_Kaarina;20240415;*;;*;58;32;37;35;70;263;966;1655;1353;1023;845;838;911;907;1096;1738;1735;1256;931;794;591;401;222;110;17867
239;vt1_Kaarina;20240416;*;;*;56;47;28;40;60;223;1009;1696;1432;954;880;856;905;896;1134;1834;1903;1365;1047;783;654;370;218;106;18496
239;vt1_Kaarina;20240417;*;;*;56;46;34;30;86;245;980;1744;1422;949;820;892;936;966;1225;1862;2016;1432;1028;817;659;430;224;104;19003
239;vt1_Kaarina;20240418;*;;*;57;46;30;34;79;240;962;1724;1366;949;866;919;967;1028;1362;1908;1944;1478;1069;896;704;432;232;117;19409
239;vt1_Kaarina;20240419;*;;*;80;60;44;35;64;206;835;1432;1273;936;864;1049;1131;1312;1598;2094;2074;1641;1292;955;784;531;361;245;20896
239;vt1_Kaarina;20240420;*;;*;165;104;78;73;51;70;170;323;451;643;870;992;1149;1170;1187;1045;1072;965;835;657;610;406;288;207;13581
239;vt1_Kaarina;20240421;*;;*;142;119;86;57;54;41;131;215;280;414;578;851;1144;1133;1242;1228;1288;1321;1149;898;709;405;178;111;13774
239;vt1_Kaarina;20240422;*;;*;45;40;45;54;74;274;1008;1661;1314;968;793;855;912;925;1163;1571;1699;1171;871;624;554;327;184;78;17210
239;vt1_Kaarina;20240423;*;;*;54;30;30;34;63;168;717;1140;966;651;537;526;617;666;791;1182;1202;873;680;512;437;276;149;85;12386
239;vt1_Kaarina;20240424;*;;*;55;27;39;38;56;219;883;1403;1174;879;697;816;886;901;1152;1621;1622;1272;966;777;672;401;259;118;16933
239;vt1_Kaarina;20240425;*;;*;54;42;44;24;69;258;973;1629;1364;958;852;899;917;1034;1204;1754;1860;1453;1005;862;691;404;242;129;18721
239;vt1_Kaarina;20240426;*;;*;69;50;42;39;67;221;821;1436;1249;918;894;1062;1060;1236;1578;2075;2088;1714;1184;915;811;520;394;268;20711
