startTime,endTime,direction,domain,source,1000m,500m,100m
2024-03-28 09:36:27+00:00,2024-03-28 09:39:27+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 09:39:27+00:00,2024-03-28 09:40:40+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 09:40:40+00:00,2024-03-28 09:43:40+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 09:43:40+00:00,2024-03-28 09:46:39+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 09:46:39+00:00,2024-03-28 09:47:48+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 10:10:43+00:00,2024-03-28 10:12:01+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 10:12:01+00:00,2024-03-28 10:14:16+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 10:14:16+00:00,2024-03-28 10:15:53+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 10:15:53+00:00,2024-03-28 10:16:54+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 11:09:28+00:00,2024-03-28 11:10:34+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 11:10:34+00:00,2024-03-28 11:13:12+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 11:13:12+00:00,2024-03-28 11:14:41+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 11:14:41+00:00,2024-03-28 11:15:42+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 11:51:48+00:00,2024-03-28 11:53:19+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 11:53:19+00:00,2024-03-28 11:56:19+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 11:56:19+00:00,2024-03-28 11:59:19+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 11:59:19+00:00,2024-03-28 12:01:15+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 12:01:15+00:00,2024-03-28 12:04:15+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 12:04:15+00:00,2024-03-28 12:05:27+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 13:09:16+00:00,2024-03-28 13:12:16+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 13:12:16+00:00,2024-03-28 13:14:43+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 13:14:43+00:00,2024-03-28 13:16:44+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 13:16:44+00:00,2024-03-28 13:17:45+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 14:09:13+00:00,2024-03-28 14:12:13+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 14:12:13+00:00,2024-03-28 14:15:00+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 14:15:00+00:00,2024-03-28 14:16:48+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 14:16:48+00:00,2024-03-28 14:19:48+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 14:19:48+00:00,2024-03-28 14:22:48+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 15:11:48+00:00,2024-03-28 15:12:49+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 15:12:49+00:00,2024-03-28 15:15:49+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 15:15:49+00:00,2024-03-28 15:17:30+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 15:17:30+00:00,2024-03-28 15:19:46+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 15:19:46+00:00,2024-03-28 15:20:47+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 15:43:35+00:00,2024-03-28 15:46:19+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 15:46:19+00:00,2024-03-28 15:47:24+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 15:47:24+00:00,2024-03-28 15:48:27+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 15:48:27+00:00,2024-03-28 15:49:32+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 15:59:25+00:00,2024-03-28 16:01:27+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 16:01:27+00:00,2024-03-28 16:02:36+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 16:02:36+00:00,2024-03-28 16:05:36+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 16:05:36+00:00,2024-03-28 16:08:34+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 16:08:34+00:00,2024-03-28 16:10:50+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 16:10:50+00:00,2024-03-28 16:13:32+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 16:13:32+00:00,2024-03-28 16:14:43+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 16:14:43+00:00,2024-03-28 16:17:43+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 16:17:43+00:00,2024-03-28 16:19:45+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 16:19:45+00:00,2024-03-28 16:20:46+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-28 16:20:46+00:00,2024-03-28 16:22:18+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 16:22:18+00:00,2024-03-28 16:23:19+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-28 16:23:19+00:00,2024-03-28 16:24:20+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 09:21:50+00:00,2024-03-29 09:24:06+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 09:24:06+00:00,2024-03-29 09:26:02+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 09:26:02+00:00,2024-03-29 09:27:03+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 09:27:03+00:00,2024-03-29 09:30:03+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 09:30:03+00:00,2024-03-29 09:33:03+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 09:33:03+00:00,2024-03-29 09:36:04+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 09:36:04+00:00,2024-03-29 09:39:04+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 09:39:04+00:00,2024-03-29 09:42:04+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 09:42:04+00:00,2024-03-29 09:45:04+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 09:45:04+00:00,2024-03-29 09:48:04+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 09:48:04+00:00,2024-03-29 09:49:16+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 09:49:16+00:00,2024-03-29 09:50:21+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 13:43:25+00:00,2024-03-29 13:46:07+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 13:46:07+00:00,2024-03-29 13:47:12+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 13:47:12+00:00,2024-03-29 13:50:12+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 13:50:12+00:00,2024-03-29 13:52:49+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 13:52:49+00:00,2024-03-29 13:54:54+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 13:54:54+00:00,2024-03-29 13:56:30+00:00,,state-roads,Harja/Väylävirasto,True,True,False
