"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Pienhiukkaset <2.5 µm [µg/m3]","Hengitettävät hiukkaset <10 µm [µg/m3]"
"Imatra Teppanala","2024","4","6","18:00","4.5","-"
"Imatra Teppanala","2024","4","6","19:00","4.9","-"
"Imatra Teppanala","2024","4","6","20:00","3.8","-"
"Imatra Teppanala","2024","4","6","21:00","3.9","-"
"Imatra Teppanala","2024","4","6","22:00","3","-"
"Imatra Teppanala","2024","4","6","23:00","4.7","-"
"Imatra Teppanala","2024","4","7","00:00","3.8","-"
"Imatra Teppanala","2024","4","7","01:00","4.2","-"
"Imatra Teppanala","2024","4","7","02:00","4.1","-"
"Imatra Teppanala","2024","4","7","03:00","4.1","-"
"Imatra Teppanala","2024","4","7","04:00","4.4","-"
"Imatra Teppanala","2024","4","7","05:00","3.3","-"
"Imatra Teppanala","2024","4","7","06:00","6.1","-"
"Imatra Teppanala","2024","4","7","07:00","2.6","-"
"Imatra Teppanala","2024","4","7","08:00","3.9","-"
"Imatra Teppanala","2024","4","7","09:00","5.2","-"
"Imatra Teppanala","2024","4","7","10:00","4.1","-"
"Imatra Teppanala","2024","4","7","11:00","4.6","-"
"Imatra Teppanala","2024","4","7","12:00","4.2","-"
"Imatra Teppanala","2024","4","7","13:00","3","-"
"Imatra Teppanala","2024","4","7","14:00","1.3","-"
"Imatra Teppanala","2024","4","7","15:00","1.6","-"
"Imatra Teppanala","2024","4","7","16:00","1.6","-"
"Imatra Teppanala","2024","4","7","17:00","3.7","-"
"Imatra Teppanala","2024","4","7","18:00","3.1","-"
"Imatra Teppanala","2024","4","7","19:00","6","-"
"Imatra Teppanala","2024","4","7","20:00","5.4","-"
"Imatra Teppanala","2024","4","7","21:00","7","-"
"Imatra Teppanala","2024","4","7","22:00","5.4","-"
"Imatra Teppanala","2024","4","7","23:00","5.2","-"
"Imatra Teppanala","2024","4","8","00:00","4.1","-"
"Imatra Teppanala","2024","4","8","01:00","4.4","-"
"Imatra Teppanala","2024","4","8","02:00","4.2","-"
"Imatra Teppanala","2024","4","8","03:00","5","-"
"Imatra Teppanala","2024","4","8","04:00","5.2","-"
"Imatra Teppanala","2024","4","8","05:00","10.2","-"
"Imatra Teppanala","2024","4","8","06:00","10.3","-"
"Imatra Teppanala","2024","4","8","07:00","10.1","0.6"
"Imatra Teppanala","2024","4","8","08:00","7.1","14.4"
"Imatra Teppanala","2024","4","8","09:00","8.7","14.8"
"Imatra Teppanala","2024","4","8","10:00","9","23.4"
"Imatra Teppanala","2024","4","8","11:00","8.3","26.1"
"Imatra Teppanala","2024","4","8","12:00","10.4","29.1"
"Imatra Teppanala","2024","4","8","13:00","10.2","31.7"
"Imatra Teppanala","2024","4","8","14:00","7.5","19.7"
"Imatra Teppanala","2024","4","8","15:00","8.8","21.2"
"Imatra Teppanala","2024","4","8","16:00","7.5","18.3"
"Imatra Teppanala","2024","4","8","17:00","5.8","19.3"
"Imatra Teppanala","2024","4","8","18:00","6.8","12.7"
"Imatra Teppanala","2024","4","8","19:00","14.9","21.7"
"Imatra Teppanala","2024","4","8","20:00","13.6","27.5"
"Imatra Teppanala","2024","4","8","21:00","15.5","25.4"
"Imatra Teppanala","2024","4","8","22:00","10.3","22.7"
"Imatra Teppanala","2024","4","8","23:00","7.7","14.4"
"Imatra Teppanala","2024","4","9","00:00","6.2","11.8"
"Imatra Teppanala","2024","4","9","01:00","7.3","16"
"Imatra Teppanala","2024","4","9","02:00","6.5","11.1"
"Imatra Teppanala","2024","4","9","03:00","5.7","9"
"Imatra Teppanala","2024","4","9","04:00","4.8","6.6"
"Imatra Teppanala","2024","4","9","05:00","6","7.5"
"Imatra Teppanala","2024","4","9","06:00","9.4","10.9"
"Imatra Teppanala","2024","4","9","07:00","7.7","9.5"
"Imatra Teppanala","2024","4","9","08:00","7.9","9"
"Imatra Teppanala","2024","4","9","09:00","12.7","14.9"
"Imatra Teppanala","2024","4","9","10:00","13.3","18.8"
"Imatra Teppanala","2024","4","9","11:00","12","19.8"
"Imatra Teppanala","2024","4","9","12:00","9.1","18.8"
"Imatra Teppanala","2024","4","9","13:00","5.8","13"
"Imatra Teppanala","2024","4","9","14:00","10.6","19.7"
"Imatra Teppanala","2024","4","9","15:00","9.5","20.2"
"Imatra Teppanala","2024","4","9","16:00","10.2","20"
"Imatra Teppanala","2024","4","9","17:00","5.5","15.4"
"Imatra Teppanala","2024","4","9","18:00","8","19.3"
"Imatra Teppanala","2024","4","9","19:00","9.4","34.6"
"Imatra Teppanala","2024","4","9","20:00","7.8","28.9"
"Imatra Teppanala","2024","4","9","21:00","5.3","25.8"
"Imatra Teppanala","2024","4","9","22:00","5.7","12.7"
"Imatra Teppanala","2024","4","9","23:00","4.6","10.2"
"Imatra Teppanala","2024","4","10","00:00","4.8","10.8"
"Imatra Teppanala","2024","4","10","01:00","4.7","8.6"
"Imatra Teppanala","2024","4","10","02:00","5.9","8.8"
"Imatra Teppanala","2024","4","10","03:00","6.7","14.4"
"Imatra Teppanala","2024","4","10","04:00","5.5","14"
"Imatra Teppanala","2024","4","10","05:00","4.9","8"
"Imatra Teppanala","2024","4","10","06:00","4.3","8.1"
"Imatra Teppanala","2024","4","10","07:00","3.2","8.7"
"Imatra Teppanala","2024","4","10","08:00","1","6.1"
"Imatra Teppanala","2024","4","10","09:00","-","2.9"
"Imatra Teppanala","2024","4","10","10:00","-","0.1"
"Imatra Teppanala","2024","4","10","11:00","-","5.8"
"Imatra Teppanala","2024","4","10","12:00","-","10"
"Imatra Teppanala","2024","4","10","13:00","-","18.7"
"Imatra Teppanala","2024","4","10","14:00","-","31.5"
"Imatra Teppanala","2024","4","10","15:00","-","26.7"
"Imatra Teppanala","2024","4","10","16:00","-","30.7"
"Imatra Teppanala","2024","4","10","17:00","8.8","67.1"
"Imatra Teppanala","2024","4","10","18:00","2.9","39.5"
"Imatra Teppanala","2024","4","10","19:00","8.8","27.6"
"Imatra Teppanala","2024","4","10","20:00","4.1","24.3"
"Imatra Teppanala","2024","4","10","21:00","6.4","34"
"Imatra Teppanala","2024","4","10","22:00","8.2","21.8"
"Imatra Teppanala","2024","4","10","23:00","7.1","23.3"
"Imatra Teppanala","2024","4","11","00:00","10.2","26.4"
"Imatra Teppanala","2024","4","11","01:00","6.1","19.7"
"Imatra Teppanala","2024","4","11","02:00","7.7","24.9"
"Imatra Teppanala","2024","4","11","03:00","13.6","28.8"
"Imatra Teppanala","2024","4","11","04:00","6.9","24.4"
"Imatra Teppanala","2024","4","11","05:00","3.5","21.7"
"Imatra Teppanala","2024","4","11","06:00","3","33"
"Imatra Teppanala","2024","4","11","07:00","4.7","24.6"
"Imatra Teppanala","2024","4","11","08:00","1.2","23.3"
"Imatra Teppanala","2024","4","11","09:00","1.8","35.2"
"Imatra Teppanala","2024","4","11","10:00","3.3","42.1"
"Imatra Teppanala","2024","4","11","11:00","2.3","38.1"
"Imatra Teppanala","2024","4","11","12:00","3.7","33.4"
"Imatra Teppanala","2024","4","11","13:00","8","47.1"
"Imatra Teppanala","2024","4","11","14:00","7.7","34.7"
"Imatra Teppanala","2024","4","11","15:00","9.3","32.7"
"Imatra Teppanala","2024","4","11","16:00","9.6","30.1"
"Imatra Teppanala","2024","4","11","17:00","8.1","31.8"
"Imatra Teppanala","2024","4","11","18:00","13.3","30.5"
"Imatra Teppanala","2024","4","11","19:00","8.8","19"
"Imatra Teppanala","2024","4","11","20:00","-1.7","4"
"Imatra Teppanala","2024","4","11","21:00","-0.5","3"
"Imatra Teppanala","2024","4","11","22:00","0.3","2"
"Imatra Teppanala","2024","4","11","23:00","5.2","10.3"
"Imatra Teppanala","2024","4","12","00:00","4.6","10.8"
"Imatra Teppanala","2024","4","12","01:00","1.8","4.3"
"Imatra Teppanala","2024","4","12","02:00","1.8","3.2"
"Imatra Teppanala","2024","4","12","03:00","1.8","3.2"
"Imatra Teppanala","2024","4","12","04:00","2","3.3"
"Imatra Teppanala","2024","4","12","05:00","2.5","3.7"
"Imatra Teppanala","2024","4","12","06:00","2.2","3.4"
"Imatra Teppanala","2024","4","12","07:00","2.7","3.4"
"Imatra Teppanala","2024","4","12","08:00","3.6","4.7"
"Imatra Teppanala","2024","4","12","09:00","2.7","5"
"Imatra Teppanala","2024","4","12","10:00","2.1","5.8"
"Imatra Teppanala","2024","4","12","11:00","4","7.9"
"Imatra Teppanala","2024","4","12","12:00","3.6","7.1"
"Imatra Teppanala","2024","4","12","13:00","2.1","6.5"
"Imatra Teppanala","2024","4","12","14:00","2.4","6.1"
"Imatra Teppanala","2024","4","12","15:00","3","5.8"
"Imatra Teppanala","2024","4","12","16:00","2.8","6.7"
"Imatra Teppanala","2024","4","12","17:00","2.2","7.3"
"Imatra Teppanala","2024","4","12","18:00","4.8","12.6"
"Imatra Teppanala","2024","4","12","19:00","10","43.8"
"Imatra Teppanala","2024","4","12","20:00","8","42.7"
"Imatra Teppanala","2024","4","12","21:00","6.7","28.1"
"Imatra Teppanala","2024","4","12","22:00","6.8","16.4"
"Imatra Teppanala","2024","4","12","23:00","4.1","11.7"
"Imatra Teppanala","2024","4","13","00:00","4.2","7.9"
"Imatra Teppanala","2024","4","13","01:00","6.8","10"
"Imatra Teppanala","2024","4","13","02:00","8","11.6"
"Imatra Teppanala","2024","4","13","03:00","7","11.7"
"Imatra Teppanala","2024","4","13","04:00","7.5","13.2"
"Imatra Teppanala","2024","4","13","05:00","9.2","18.1"
"Imatra Teppanala","2024","4","13","06:00","8.9","18.3"
"Imatra Teppanala","2024","4","13","07:00","10.5","16"
"Imatra Teppanala","2024","4","13","08:00","5.2","11.4"
"Imatra Teppanala","2024","4","13","09:00","4.5","8.3"
"Imatra Teppanala","2024","4","13","10:00","2.3","5.2"
"Imatra Teppanala","2024","4","13","11:00","2.2","4.1"
"Imatra Teppanala","2024","4","13","12:00","1.2","4.2"
"Imatra Teppanala","2024","4","13","13:00","1.4","4.6"
"Imatra Teppanala","2024","4","13","14:00","1.7","3.9"
"Imatra Teppanala","2024","4","13","15:00","2.4","4.4"
"Imatra Teppanala","2024","4","13","16:00","2.1","4.2"
"Imatra Teppanala","2024","4","13","17:00","1.4","3.6"
"Imatra Teppanala","2024","4","13","18:00","1.7","4.8"
"Imatra Teppanala","2024","4","13","19:00","1","3.4"
"Imatra Teppanala","2024","4","13","20:00","0.6","2.5"
"Imatra Teppanala","2024","4","13","21:00","-0.4","1.5"
"Imatra Teppanala","2024","4","13","22:00","0.3","2.1"
"Imatra Teppanala","2024","4","13","23:00","-0.8","1.1"
"Imatra Teppanala","2024","4","14","00:00","-0.5","1.2"
"Imatra Teppanala","2024","4","14","01:00","0.3","1.7"
"Imatra Teppanala","2024","4","14","02:00","0.3","1.8"
"Imatra Teppanala","2024","4","14","03:00","0.3","1.5"
"Imatra Teppanala","2024","4","14","04:00","1.7","3.2"
"Imatra Teppanala","2024","4","14","05:00","2.6","4.5"
"Imatra Teppanala","2024","4","14","06:00","1.7","3.7"
"Imatra Teppanala","2024","4","14","07:00","0.5","2.8"
"Imatra Teppanala","2024","4","14","08:00","-0.2","2.1"
"Imatra Teppanala","2024","4","14","09:00","-0.2","1.9"
"Imatra Teppanala","2024","4","14","10:00","0.8","2.2"
"Imatra Teppanala","2024","4","14","11:00","0.7","2.4"
"Imatra Teppanala","2024","4","14","12:00","1.4","3.2"
"Imatra Teppanala","2024","4","14","13:00","0.3","2.7"
"Imatra Teppanala","2024","4","14","14:00","3.2","4.3"
"Imatra Teppanala","2024","4","14","15:00","7.1","8.8"
"Imatra Teppanala","2024","4","14","16:00","5.2","8.3"
"Imatra Teppanala","2024","4","14","17:00","5.1","8.4"
"Imatra Teppanala","2024","4","14","18:00","4.3","6.8"
"Imatra Teppanala","2024","4","14","19:00","3","5"
"Imatra Teppanala","2024","4","14","20:00","1.6","4"
"Imatra Teppanala","2024","4","14","21:00","1.6","3.3"
"Imatra Teppanala","2024","4","14","22:00","0.5","2.2"
"Imatra Teppanala","2024","4","14","23:00","1.2","2.8"
"Imatra Teppanala","2024","4","15","00:00","0.8","2.9"
"Imatra Teppanala","2024","4","15","01:00","0.9","2.8"
"Imatra Teppanala","2024","4","15","02:00","0.7","2.5"
"Imatra Teppanala","2024","4","15","03:00","1.2","2.6"
"Imatra Teppanala","2024","4","15","04:00","2","3.4"
"Imatra Teppanala","2024","4","15","05:00","2.9","4"
"Imatra Teppanala","2024","4","15","06:00","3","4.2"
"Imatra Teppanala","2024","4","15","07:00","3.7","5"
"Imatra Teppanala","2024","4","15","08:00","3.8","4.8"
"Imatra Teppanala","2024","4","15","09:00","4.2","5.4"
"Imatra Teppanala","2024","4","15","10:00","4","5.4"
"Imatra Teppanala","2024","4","15","11:00","3.4","5.6"
"Imatra Teppanala","2024","4","15","12:00","2.6","6.7"
"Imatra Teppanala","2024","4","15","13:00","1.9","6.4"
"Imatra Teppanala","2024","4","15","14:00","3","6.6"
"Imatra Teppanala","2024","4","15","15:00","3.5","7.3"
"Imatra Teppanala","2024","4","15","16:00","4.3","7.2"
"Imatra Teppanala","2024","4","15","17:00","5","7"
"Imatra Teppanala","2024","4","15","18:00","3.7","5.1"
"Imatra Teppanala","2024","4","15","19:00","3.4","4.5"
"Imatra Teppanala","2024","4","15","20:00","3.6","4.8"
"Imatra Teppanala","2024","4","15","21:00","3.3","4.8"
"Imatra Teppanala","2024","4","15","22:00","3.5","5"
"Imatra Teppanala","2024","4","15","23:00","3.7","5.2"
"Imatra Teppanala","2024","4","16","00:00","2.7","4.1"
"Imatra Teppanala","2024","4","16","01:00","2.1","3.9"
"Imatra Teppanala","2024","4","16","02:00","2","3.4"
"Imatra Teppanala","2024","4","16","03:00","2.4","3.6"
"Imatra Teppanala","2024","4","16","04:00","2.8","4"
"Imatra Teppanala","2024","4","16","05:00","3.2","5"
"Imatra Teppanala","2024","4","16","06:00","2.5","5.7"
"Imatra Teppanala","2024","4","16","07:00","2.9","6"
"Imatra Teppanala","2024","4","16","08:00","3","7.3"
"Imatra Teppanala","2024","4","16","09:00","3.6","7"
"Imatra Teppanala","2024","4","16","10:00","3.1","6.7"
"Imatra Teppanala","2024","4","16","11:00","4.2","8"
"Imatra Teppanala","2024","4","16","12:00","3.4","8.7"
"Imatra Teppanala","2024","4","16","13:00","3.1","7.4"
"Imatra Teppanala","2024","4","16","14:00","3.6","8"
"Imatra Teppanala","2024","4","16","15:00","4.6","10"
"Imatra Teppanala","2024","4","16","16:00","5.4","9"
"Imatra Teppanala","2024","4","16","17:00","5.6","8.5"
"Imatra Teppanala","2024","4","16","18:00","5","8.8"
"Imatra Teppanala","2024","4","16","19:00","5","7.3"
"Imatra Teppanala","2024","4","16","20:00","4.3","5.6"
"Imatra Teppanala","2024","4","16","21:00","4.1","5.5"
"Imatra Teppanala","2024","4","16","22:00","2.9","4.2"
"Imatra Teppanala","2024","4","16","23:00","2.6","3.7"
"Imatra Teppanala","2024","4","17","00:00","3.6","4.6"
"Imatra Teppanala","2024","4","17","01:00","3.4","4.4"
"Imatra Teppanala","2024","4","17","02:00","3.5","4.9"
"Imatra Teppanala","2024","4","17","03:00","2.9","3.7"
"Imatra Teppanala","2024","4","17","04:00","2.4","3.6"
"Imatra Teppanala","2024","4","17","05:00","2.2","3.5"
"Imatra Teppanala","2024","4","17","06:00","1.9","3.4"
"Imatra Teppanala","2024","4","17","07:00","2.4","3.5"
"Imatra Teppanala","2024","4","17","08:00","2.4","4.6"
"Imatra Teppanala","2024","4","17","09:00","3","5.3"
"Imatra Teppanala","2024","4","17","10:00","4.4","7.9"
"Imatra Teppanala","2024","4","17","11:00","3.3","5.5"
"Imatra Teppanala","2024","4","17","12:00","3.8","6.6"
"Imatra Teppanala","2024","4","17","13:00","3.8","7.2"
"Imatra Teppanala","2024","4","17","14:00","4.9","9.5"
"Imatra Teppanala","2024","4","17","15:00","4.9","7.7"
"Imatra Teppanala","2024","4","17","16:00","5.4","7.3"
"Imatra Teppanala","2024","4","17","17:00","5.1","6.6"
"Imatra Teppanala","2024","4","17","18:00","5.8","7.2"
"Imatra Teppanala","2024","4","17","19:00","5.4","7"
"Imatra Teppanala","2024","4","17","20:00","5.2","6.5"
"Imatra Teppanala","2024","4","17","21:00","5.8","7.2"
"Imatra Teppanala","2024","4","17","22:00","5","6.9"
"Imatra Teppanala","2024","4","17","23:00","4.3","5.8"
"Imatra Teppanala","2024","4","18","00:00","4.4","6.3"
"Imatra Teppanala","2024","4","18","01:00","4.5","6.1"
"Imatra Teppanala","2024","4","18","02:00","4","6.2"
"Imatra Teppanala","2024","4","18","03:00","2.6","5.9"
"Imatra Teppanala","2024","4","18","04:00","3.8","6.3"
"Imatra Teppanala","2024","4","18","05:00","4","9.4"
"Imatra Teppanala","2024","4","18","06:00","4.8","-"
"Imatra Teppanala","2024","4","18","07:00","-","-"
"Imatra Teppanala","2024","4","18","08:00","-","-"
"Imatra Teppanala","2024","4","18","09:00","-","-"
"Imatra Teppanala","2024","4","18","10:00","-","0.4"
"Imatra Teppanala","2024","4","18","11:00","3.5","10.4"
"Imatra Teppanala","2024","4","18","12:00","2.5","10"
"Imatra Teppanala","2024","4","18","13:00","1","7.9"
"Imatra Teppanala","2024","4","18","14:00","2","8.3"
"Imatra Teppanala","2024","4","18","15:00","1.6","7"
"Imatra Teppanala","2024","4","18","16:00","2.4","7.6"
"Imatra Teppanala","2024","4","18","17:00","1.7","7.9"
"Imatra Teppanala","2024","4","18","18:00","2.4","9.3"
"Imatra Teppanala","2024","4","18","19:00","0.8","7.4"
"Imatra Teppanala","2024","4","18","20:00","1.4","6.1"
"Imatra Teppanala","2024","4","18","21:00","0.8","6.3"
"Imatra Teppanala","2024","4","18","22:00","0.5","6.4"
"Imatra Teppanala","2024","4","18","23:00","-0.1","4"
"Imatra Teppanala","2024","4","19","00:00","0.5","4.2"
"Imatra Teppanala","2024","4","19","01:00","0.6","4"
"Imatra Teppanala","2024","4","19","02:00","0.3","4"
"Imatra Teppanala","2024","4","19","03:00","0.4","4.9"
"Imatra Teppanala","2024","4","19","04:00","0.4","5.5"
"Imatra Teppanala","2024","4","19","05:00","0.3","5.2"
"Imatra Teppanala","2024","4","19","06:00","-1","4.7"
"Imatra Teppanala","2024","4","19","07:00","-0.8","10"
"Imatra Teppanala","2024","4","19","08:00","-1","10.3"
"Imatra Teppanala","2024","4","19","09:00","0.4","6.7"
"Imatra Teppanala","2024","4","19","10:00","-1","6.9"
"Imatra Teppanala","2024","4","19","11:00","-1.3","6.4"
"Imatra Teppanala","2024","4","19","12:00","-0.2","7"
"Imatra Teppanala","2024","4","19","13:00","-","8.5"
"Imatra Teppanala","2024","4","19","14:00","-","10.1"
"Imatra Teppanala","2024","4","19","15:00","-","8.4"
"Imatra Teppanala","2024","4","19","16:00","-","5.9"
"Imatra Teppanala","2024","4","19","17:00","-","6.9"
"Imatra Teppanala","2024","4","19","18:00","-","6.7"
"Imatra Teppanala","2024","4","19","19:00","-","5.3"
"Imatra Teppanala","2024","4","19","20:00","-","5.4"
"Imatra Teppanala","2024","4","19","21:00","-","6.1"
"Imatra Teppanala","2024","4","19","22:00","-","4.7"
"Imatra Teppanala","2024","4","19","23:00","-","4.9"
"Imatra Teppanala","2024","4","20","00:00","-","5.5"
"Imatra Teppanala","2024","4","20","01:00","-","5.6"
"Imatra Teppanala","2024","4","20","02:00","-","5.7"
"Imatra Teppanala","2024","4","20","03:00","-","5.8"
"Imatra Teppanala","2024","4","20","04:00","-","6.9"
"Imatra Teppanala","2024","4","20","05:00","-","6.5"
"Imatra Teppanala","2024","4","20","06:00","-","7.1"
"Imatra Teppanala","2024","4","20","07:00","-","8.1"
"Imatra Teppanala","2024","4","20","08:00","-","6.9"
"Imatra Teppanala","2024","4","20","09:00","-","7.9"
"Imatra Teppanala","2024","4","20","10:00","-","7.9"
"Imatra Teppanala","2024","4","20","11:00","-","8.4"
"Imatra Teppanala","2024","4","20","12:00","-","7.9"
"Imatra Teppanala","2024","4","20","13:00","-","7.9"
"Imatra Teppanala","2024","4","20","14:00","-","7.9"
"Imatra Teppanala","2024","4","20","15:00","-","7.8"
"Imatra Teppanala","2024","4","20","16:00","-","7.7"
"Imatra Teppanala","2024","4","20","17:00","-","8.6"
"Imatra Teppanala","2024","4","20","18:00","-","9.4"
"Imatra Teppanala","2024","4","20","19:00","-","10.3"
"Imatra Teppanala","2024","4","20","20:00","-","8.9"
"Imatra Teppanala","2024","4","20","21:00","-","10.2"
"Imatra Teppanala","2024","4","20","22:00","-","10.1"
"Imatra Teppanala","2024","4","20","23:00","-","10.1"
"Imatra Teppanala","2024","4","21","00:00","-","9.7"
"Imatra Teppanala","2024","4","21","01:00","-","7.6"
"Imatra Teppanala","2024","4","21","02:00","-","7.8"
"Imatra Teppanala","2024","4","21","03:00","-","7.6"
"Imatra Teppanala","2024","4","21","04:00","-","7.9"
"Imatra Teppanala","2024","4","21","05:00","-","7.4"
"Imatra Teppanala","2024","4","21","06:00","-","7"
"Imatra Teppanala","2024","4","21","07:00","-","7.3"
"Imatra Teppanala","2024","4","21","08:00","-","6.4"
"Imatra Teppanala","2024","4","21","09:00","-","7.1"
"Imatra Teppanala","2024","4","21","10:00","-","7.3"
"Imatra Teppanala","2024","4","21","11:00","-","7.3"
"Imatra Teppanala","2024","4","21","12:00","-","6.3"
"Imatra Teppanala","2024","4","21","13:00","-","4.8"
"Imatra Teppanala","2024","4","21","14:00","-","6.6"
"Imatra Teppanala","2024","4","21","15:00","-","5.8"
"Imatra Teppanala","2024","4","21","16:00","-","7"
"Imatra Teppanala","2024","4","21","17:00","-","8"
"Imatra Teppanala","2024","4","21","18:00","-","7.8"
"Imatra Teppanala","2024","4","21","19:00","-","8.1"
"Imatra Teppanala","2024","4","21","20:00","-","6.9"
"Imatra Teppanala","2024","4","21","21:00","-","6.7"
"Imatra Teppanala","2024","4","21","22:00","-","6.3"
"Imatra Teppanala","2024","4","21","23:00","-","4.5"
"Imatra Teppanala","2024","4","22","00:00","-","5.9"
"Imatra Teppanala","2024","4","22","01:00","-","4.7"
"Imatra Teppanala","2024","4","22","02:00","-","4.8"
"Imatra Teppanala","2024","4","22","03:00","-","4.7"
"Imatra Teppanala","2024","4","22","04:00","-","6.5"
"Imatra Teppanala","2024","4","22","05:00","-","5.5"
"Imatra Teppanala","2024","4","22","06:00","-","4.2"
"Imatra Teppanala","2024","4","22","07:00","-","3.9"
"Imatra Teppanala","2024","4","22","08:00","-","4.7"
"Imatra Teppanala","2024","4","22","09:00","-","3.8"
"Imatra Teppanala","2024","4","22","10:00","-","5.9"
"Imatra Teppanala","2024","4","22","11:00","-","4.5"
"Imatra Teppanala","2024","4","22","12:00","4.1","6.2"
"Imatra Teppanala","2024","4","22","13:00","2.4","5"
"Imatra Teppanala","2024","4","22","14:00","3.9","5.8"
"Imatra Teppanala","2024","4","22","15:00","2.4","4.6"
"Imatra Teppanala","2024","4","22","16:00","3.5","5.1"
"Imatra Teppanala","2024","4","22","17:00","3.1","5.7"
"Imatra Teppanala","2024","4","22","18:00","2.8","4.8"
"Imatra Teppanala","2024","4","22","19:00","0.2","2.2"
"Imatra Teppanala","2024","4","22","20:00","0.2","2.2"
"Imatra Teppanala","2024","4","22","21:00","1.3","3.5"
"Imatra Teppanala","2024","4","22","22:00","-2.3","0.5"
"Imatra Teppanala","2024","4","22","23:00","3.4","4.3"
"Imatra Teppanala","2024","4","23","00:00","2.1","4"
"Imatra Teppanala","2024","4","23","01:00","1.5","3.6"
"Imatra Teppanala","2024","4","23","02:00","2.5","4.8"
"Imatra Teppanala","2024","4","23","03:00","2.5","4.2"
"Imatra Teppanala","2024","4","23","04:00","2.7","4.1"
"Imatra Teppanala","2024","4","23","05:00","4.8","6.5"
"Imatra Teppanala","2024","4","23","06:00","5.1","7.1"
"Imatra Teppanala","2024","4","23","07:00","3.1","4.2"
"Imatra Teppanala","2024","4","23","08:00","3.5","3.9"
"Imatra Teppanala","2024","4","23","09:00","2.9","4.1"
"Imatra Teppanala","2024","4","23","10:00","3.2","4.3"
"Imatra Teppanala","2024","4","23","11:00","4.1","5.1"
"Imatra Teppanala","2024","4","23","12:00","3.8","5"
"Imatra Teppanala","2024","4","23","13:00","3.2","4.3"
"Imatra Teppanala","2024","4","23","14:00","4.1","5.1"
"Imatra Teppanala","2024","4","23","15:00","3.9","5.4"
"Imatra Teppanala","2024","4","23","16:00","3.8","4.9"
"Imatra Teppanala","2024","4","23","17:00","3.7","5.1"
"Imatra Teppanala","2024","4","23","18:00","2.9","4.6"
"Imatra Teppanala","2024","4","23","19:00","2.9","4.4"
"Imatra Teppanala","2024","4","23","20:00","2.7","4.1"
"Imatra Teppanala","2024","4","23","21:00","3.7","4.5"
"Imatra Teppanala","2024","4","23","22:00","4.7","6.4"
"Imatra Teppanala","2024","4","23","23:00","5","7.3"
"Imatra Teppanala","2024","4","24","00:00","5","6.8"
"Imatra Teppanala","2024","4","24","01:00","4.9","6.6"
"Imatra Teppanala","2024","4","24","02:00","4.3","6.8"
"Imatra Teppanala","2024","4","24","03:00","5.2","7.9"
"Imatra Teppanala","2024","4","24","04:00","6.6","8.3"
"Imatra Teppanala","2024","4","24","05:00","5.1","8.2"
"Imatra Teppanala","2024","4","24","06:00","5.5","8"
"Imatra Teppanala","2024","4","24","07:00","7.9","9.7"
"Imatra Teppanala","2024","4","24","08:00","8.3","12.4"
"Imatra Teppanala","2024","4","24","09:00","5.5","9.7"
"Imatra Teppanala","2024","4","24","10:00","6.2","10"
"Imatra Teppanala","2024","4","24","11:00","6.2","12.6"
"Imatra Teppanala","2024","4","24","12:00","4.6","12.9"
"Imatra Teppanala","2024","4","24","13:00","4.9","10.7"
"Imatra Teppanala","2024","4","24","14:00","4.5","9.5"
"Imatra Teppanala","2024","4","24","15:00","3.2","7.2"
"Imatra Teppanala","2024","4","24","16:00","4","7.3"
"Imatra Teppanala","2024","4","24","17:00","3.6","7.1"
"Imatra Teppanala","2024","4","24","18:00","5.2","8.8"
"Imatra Teppanala","2024","4","24","19:00","4.9","9.9"
"Imatra Teppanala","2024","4","24","20:00","3.9","7.4"
"Imatra Teppanala","2024","4","24","21:00","4.5","7.2"
"Imatra Teppanala","2024","4","24","22:00","3.9","7.8"
"Imatra Teppanala","2024","4","24","23:00","4.1","6.8"
"Imatra Teppanala","2024","4","25","00:00","3","6"
"Imatra Teppanala","2024","4","25","01:00","2.9","5.6"
"Imatra Teppanala","2024","4","25","02:00","3.2","5.7"
"Imatra Teppanala","2024","4","25","03:00","3.2","7.4"
"Imatra Teppanala","2024","4","25","04:00","2","7.6"
"Imatra Teppanala","2024","4","25","05:00","0.8","5.9"
"Imatra Teppanala","2024","4","25","06:00","1","7.4"
"Imatra Teppanala","2024","4","25","07:00","1.2","6.5"
"Imatra Teppanala","2024","4","25","08:00","1.8","6.6"
"Imatra Teppanala","2024","4","25","09:00","1.6","6.3"
"Imatra Teppanala","2024","4","25","10:00","2.2","7.2"
"Imatra Teppanala","2024","4","25","11:00","2","6.9"
"Imatra Teppanala","2024","4","25","12:00","3.2","5.4"
"Imatra Teppanala","2024","4","25","13:00","3","5.3"
"Imatra Teppanala","2024","4","25","14:00","1.8","3.6"
"Imatra Teppanala","2024","4","25","15:00","1.4","3.1"
"Imatra Teppanala","2024","4","25","16:00","0.4","2.1"
"Imatra Teppanala","2024","4","25","17:00","0.8","2.2"
"Imatra Teppanala","2024","4","25","18:00","1","2.4"
"Imatra Teppanala","2024","4","25","19:00","1.5","3.2"
"Imatra Teppanala","2024","4","25","20:00","1.1","2.6"
"Imatra Teppanala","2024","4","25","21:00","1.6","3"
"Imatra Teppanala","2024","4","25","22:00","2.2","3.4"
"Imatra Teppanala","2024","4","25","23:00","3.4","4.2"
