pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
923;vt4_Jyväskylä_Halssila;20240407;*;;*;342;247;214;184;130;151;236;260;413;646;975;1289;1625;1841;1849;2038;2036;1971;1735;1311;1067;654;334;216;21764
923;vt4_Jyväskylä_Halssila;20240408;*;;*;113;87;67;79;187;528;1309;2121;1806;1435;1402;1491;1530;1578;1940;2563;2626;1900;1631;1351;1054;636;343;186;27963
923;vt4_Jyväskylä_Halssila;20240409;*;;*;131;87;81;70;164;531;1230;2193;1908;1413;1304;1461;1488;1760;2028;2634;2756;2014;1659;1366;1053;667;357;197;28552
923;vt4_Jyväskylä_Halssila;20240410;*;;*;159;117;91;73;168;531;1280;2068;1802;1411;1407;1479;1579;1682;2027;2697;2742;2092;1750;1441;1104;693;396;185;28974
923;vt4_Jyväskylä_Halssila;20240411;*;;*;160;107;92;96;179;535;1272;2173;1808;1499;1385;1599;1659;1868;2208;2753;2997;2353;1893;1555;1238;813;443;220;30905
923;vt4_Jyväskylä_Halssila;20240412;*;;*;160;96;87;79;154;495;1192;1950;1699;1534;1546;1883;2050;2148;2622;3069;2870;2338;2075;1540;1103;892;582;374;32538
923;vt4_Jyväskylä_Halssila;20240413;*;;*;253;240;182;142;123;179;323;485;889;1383;1736;1951;2030;2053;2020;1954;1861;1759;1456;1188;878;663;583;391;24722
923;vt4_Jyväskylä_Halssila;20240414;*;;*;329;218;179;158;131;144;196;221;331;658;1034;1412;1877;1953;2150;2152;2124;2058;1817;1476;1059;729;364;183;22953
923;vt4_Jyväskylä_Halssila;20240415;*;;*;125;74;66;76;193;574;1368;2148;1936;1477;1376;1597;1603;1747;2068;2575;2616;2028;1705;1349;1034;633;349;192;28909
923;vt4_Jyväskylä_Halssila;20240416;*;;*;127;99;77;65;164;521;1277;2183;1900;1414;1261;1435;1568;1687;2001;2661;2607;1991;1485;1337;1101;577;348;187;28073
923;vt4_Jyväskylä_Halssila;20240417;*;;*;161;95;69;69;154;541;1276;2146;1838;1392;1266;1463;1526;1647;1988;2700;2755;2068;1680;1418;1054;680;376;205;28567
923;vt4_Jyväskylä_Halssila;20240418;*;;*;190;127;77;99;160;493;1246;2110;1890;1457;1375;1597;1680;1798;2162;2773;2845;2345;1821;1454;1198;862;425;201;30385
923;vt4_Jyväskylä_Halssila;20240419;*;;*;175;121;91;87;145;482;1190;1888;1684;1493;1581;1714;1941;2183;2559;3079;2929;2366;1990;1398;1041;725;483;336;31681
923;vt4_Jyväskylä_Halssila;20240420;*;;*;255;193;145;155;136;156;306;345;593;992;1220;1372;1591;1635;1670;1564;1514;1419;1227;917;753;628;383;371;19540
923;vt4_Jyväskylä_Halssila;20240421;*;;*;256;213;162;121;103;97;180;174;348;581;934;1186;1517;1795;1917;2020;2080;1914;1729;1427;967;671;405;150;20947
923;vt4_Jyväskylä_Halssila;20240422;*;;*;113;93;72;70;203;566;1275;2009;1776;1416;1367;1454;1506;1547;1916;2413;2458;1673;1349;1192;842;525;314;165;26314
923;vt4_Jyväskylä_Halssila;20240423;*;;*;112;132;96;84;153;493;1206;1956;1808;1281;1073;1268;1232;1426;1718;2411;2393;1844;1528;1162;965;588;355;182;25466
923;vt4_Jyväskylä_Halssila;20240424;*;;*;108;93;83;83;170;517;1229;2092;1783;1380;1221;1394;1502;1726;2014;2664;2675;2056;1682;1390;1006;753;395;189;28205
923;vt4_Jyväskylä_Halssila;20240425;*;;*;157;114;98;89;176;532;1239;2101;1836;1453;1338;1568;1684;1815;2134;2829;2866;2245;1790;1429;1081;668;453;189;29884
923;vt4_Jyväskylä_Halssila;20240426;*;;*;128;114;99;80;166;514;1137;1960;1702;1543;1593;1797;2006;2212;2582;3026;2942;2472;2008;1606;1137;838;551;369;32582
923;vt4_Jyväskylä_Halssila;20240427;*;;*;290;209;163;141;125;197;284;476;822;1345;1781;1840;2028;2038;1962;1817;1672;1694;1456;1147;900;689;437;363;23876
923;vt4_Jyväskylä_Halssila;20240428;*;;*;299;211;168;127;137;121;180;240;430;767;1061;1382;1687;1929;2002;2154;2059;1999;1870;1458;1103;691;387;207;22669
923;vt4_Jyväskylä_Halssila;20240429;*;;*;119;84;63;72;179;574;1360;2164;1883;1489;1465;1521;1701;1728;2027;2676;2720;2150;1773;1508;1074;738;422;200;29690
923;vt4_Jyväskylä_Halssila;20240430;*;;*;139;108;92;85;157;531;1222;2081;1832;1557;1437;1663;1756;1884;2470;2923;2601;2038;1530;1244;946;729;534;387;29946
923;vt4_Jyväskylä_Halssila;20240501;*;;*;343;270;282;193;194;182;261;286;369;680;990;1364;1678;1653;1830;1711;1676;1608;1429;1172;929;650;303;216;20269
923;vt4_Jyväskylä_Halssila;20240502;*;;*;122;99;78;90;164;525;1238;2167;1951;1561;1465;1723;1702;1822;2155;2689;2747;2170;1864;1476;1158;739;443;228;30376
923;vt4_Jyväskylä_Halssila;20240503;*;;*;147;91;84;84;152;514;1159;1920;1816;1548;1580;1818;1925;2200;2574;2967;2896;2463;2001;1608;1167;779;572;336;32401
923;vt4_Jyväskylä_Halssila;20240504;*;;*;228;201;164;130;115;192;315;521;859;1460;1756;1887;2056;1978;1924;1766;1607;1600;1473;1164;855;694;530;439;23914
923;vt4_Jyväskylä_Halssila;20240505;*;;*;309;214;196;121;85;111;198;233;418;789;1160;1550;1850;2008;2216;2209;2201;2094;1789;1510;1178;783;417;200;23839
