Nimi,FMSID,LPNN,WMO,Lat,Lon,Korkeus,Ryhmät,Alkaen,geometry,buffer1000,buffer500,buffer100,Reitit(1000m),Reitit(500m),Reitit(100m)
Hailuoto Kujalannurkka,104109,,,65.0,24.69,4.0,ilmanlaatu (IL),1995,POINT (391087.0806938496 7210444.770890047),"POLYGON ((392087.0806938496 7210444.770890047, 392082.2654205218 7210346.753749717, 392067.8659742528 7210249.680568031, 392044.0210295818 7210154.486212793, 392010.9602263609 7210062.087457682, 391969.001958198 7209973.374153221, 391918.55030615214 7209889.200657027, 391860.0911472123 7209810.377605883, 391794.18747503613 7209737.66410886, 391721.47397801327 7209671.760436684, 391642.6509268692 7209613.301277745, 391558.4774306756 7209562.849625698, 391469.76412621466 7209520.8913575355, 391377.36537110404 7209487.830554315, 391282.17101586575 7209463.985609643, 391185.0978341792 7209449.586163375, 391087.0806938496 7209444.770890047, 390989.06355352 7209449.586163375, 390891.99037183344 7209463.985609643, 390796.79601659515 7209487.830554315, 390704.3972614845 7209520.8913575355, 390615.6839570236 7209562.849625698, 390531.51046083 7209613.301277745, 390452.6874096859 7209671.760436684, 390379.97391266306 7209737.66410886, 390314.0702404869 7209810.377605883, 390255.61108154705 7209889.200657027, 390205.1594295012 7209973.374153221, 390163.2011613383 7210062.087457682, 390130.1403581174 7210154.486212793, 390106.2954134464 7210249.680568031, 390091.8959671774 7210346.753749717, 390087.0806938496 7210444.770890047, 390091.8959671774 7210542.788030377, 390106.2954134464 7210639.861212063, 390130.1403581174 7210735.055567301, 390163.2011613383 7210827.454322412, 390205.1594295012 7210916.167626873, 390255.61108154705 7211000.341123067, 390314.0702404869 7211079.16417421, 390379.97391266306 7211151.877671233, 390452.6874096859 7211217.78134341, 390531.51046083 7211276.240502349, 390615.6839570236 7211326.692154395, 390704.3972614845 7211368.650422558, 390796.79601659515 7211401.711225779, 390891.99037183344 7211425.5561704505, 390989.06355352 7211439.955616719, 391087.0806938496 7211444.770890047, 391185.0978341792 7211439.955616719, 391282.17101586575 7211425.5561704505, 391377.36537110404 7211401.711225779, 391469.76412621466 7211368.650422558, 391558.4774306756 7211326.692154395, 391642.6509268692 7211276.240502349, 391721.47397801327 7211217.78134341, 391794.18747503613 7211151.877671233, 391860.0911472123 7211079.16417421, 391918.55030615214 7211000.341123067, 391969.001958198 7210916.167626873, 392010.9602263609 7210827.454322412, 392044.0210295818 7210735.055567301, 392067.8659742528 7210639.861212063, 392082.2654205218 7210542.788030377, 392087.0806938496 7210444.770890047))","POLYGON ((391587.0806938496 7210444.770890047, 391584.6730571857 7210395.762319882, 391577.4733340512 7210347.225729039, 391565.5508617157 7210299.62855142, 391549.0204601052 7210253.429173864, 391528.04132602375 7210209.0725216335, 391502.81550000084 7210166.985773537, 391473.58592053095 7210127.574247965, 391440.63408444286 7210091.217499454, 391404.27733593143 7210058.265663366, 391364.8658103594 7210029.036083896, 391322.7790622626 7210003.810257873, 391278.42241003213 7209982.831123792, 391232.22303247685 7209966.300722181, 391184.6258548577 7209954.3782498455, 391136.0892640144 7209947.178526711, 391087.0806938496 7209944.770890047, 391038.0721236848 7209947.178526711, 390989.5355328415 7209954.3782498455, 390941.93835522234 7209966.300722181, 390895.73897766706 7209982.831123792, 390851.38232543657 7210003.810257873, 390809.29557733977 7210029.036083896, 390769.88405176776 7210058.265663366, 390733.5273032563 7210091.217499454, 390700.57546716824 7210127.574247965, 390671.34588769835 7210166.985773537, 390646.12006167544 7210209.0725216335, 390625.140927594 7210253.429173864, 390608.6105259835 7210299.62855142, 390596.688053648 7210347.225729039, 390589.4883305135 7210395.762319882, 390587.0806938496 7210444.770890047, 390589.4883305135 7210493.779460211, 390596.688053648 7210542.316051055, 390608.6105259835 7210589.913228674, 390625.140927594 7210636.112606229, 390646.12006167544 7210680.46925846, 390671.34588769835 7210722.556006556, 390700.57546716824 7210761.967532129, 390733.5273032563 7210798.32428064, 390769.88405176776 7210831.276116728, 390809.29557733977 7210860.505696198, 390851.38232543657 7210885.731522221, 390895.73897766706 7210906.710656302, 390941.93835522234 7210923.241057913, 390989.5355328415 7210935.163530248, 391038.0721236848 7210942.363253383, 391087.0806938496 7210944.770890047, 391136.0892640144 7210942.363253383, 391184.6258548577 7210935.163530248, 391232.22303247685 7210923.241057913, 391278.42241003213 7210906.710656302, 391322.7790622626 7210885.731522221, 391364.8658103594 7210860.505696198, 391404.27733593143 7210831.276116728, 391440.63408444286 7210798.32428064, 391473.58592053095 7210761.967532129, 391502.81550000084 7210722.556006556, 391528.04132602375 7210680.46925846, 391549.0204601052 7210636.112606229, 391565.5508617157 7210589.913228674, 391577.4733340512 7210542.316051055, 391584.6730571857 7210493.779460211, 391587.0806938496 7210444.770890047))","POLYGON ((391187.0806938496 7210444.770890047, 391186.5991665168 7210434.969176014, 391185.1592218899 7210425.261857845, 391182.7747274228 7210415.742422322, 391179.46864710073 7210406.502546811, 391175.2728202844 7210397.631216364, 391170.22765507986 7210389.213866745, 391164.3817391859 7210381.331561631, 391157.7913719682 7210374.060211929, 391150.52002226596 7210367.469844711, 391142.63771715155 7210361.623928817, 391134.2203675322 7210356.578763612, 391125.3490370861 7210352.382936796, 391116.10916157503 7210349.076856473, 391106.5897260512 7210346.692362007, 391096.88240788254 7210345.25241738, 391087.0806938496 7210344.770890047, 391077.27897981665 7210345.25241738, 391067.571661648 7210346.692362007, 391058.05222612416 7210349.076856473, 391048.81235061307 7210352.382936796, 391039.94102016697 7210356.578763612, 391031.52367054764 7210361.623928817, 391023.6413654332 7210367.469844711, 391016.37001573096 7210374.060211929, 391009.7796485133 7210381.331561631, 391003.93373261933 7210389.213866745, 390998.8885674148 7210397.631216364, 390994.69274059846 7210406.502546811, 390991.3866602764 7210415.742422322, 390989.0021658093 7210425.261857845, 390987.5622211824 7210434.969176014, 390987.0806938496 7210444.770890047, 390987.5622211824 7210454.57260408, 390989.0021658093 7210464.279922249, 390991.3866602764 7210473.799357772, 390994.69274059846 7210483.039233283, 390998.8885674148 7210491.91056373, 391003.93373261933 7210500.327913349, 391009.7796485133 7210508.210218463, 391016.37001573096 7210515.481568165, 391023.6413654332 7210522.071935383, 391031.52367054764 7210527.917851277, 391039.94102016697 7210532.963016482, 391048.81235061307 7210537.1588432975, 391058.05222612416 7210540.46492362, 391067.571661648 7210542.849418087, 391077.27897981665 7210544.289362714, 391087.0806938496 7210544.770890047, 391096.88240788254 7210544.289362714, 391106.5897260512 7210542.849418087, 391116.10916157503 7210540.46492362, 391125.3490370861 7210537.1588432975, 391134.2203675322 7210532.963016482, 391142.63771715155 7210527.917851277, 391150.52002226596 7210522.071935383, 391157.7913719682 7210515.481568165, 391164.3817391859 7210508.210218463, 391170.22765507986 7210500.327913349, 391175.2728202844 7210491.91056373, 391179.46864710073 7210483.039233283, 391182.7747274228 7210473.799357772, 391185.1592218899 7210464.279922249, 391186.5991665168 7210454.57260408, 391187.0806938496 7210444.770890047))",0,0,0
Hailuoto Marjaniemi,101784,5310.0,2873.0,65.04,24.56,7.0,"sää, ilmanlaatu (IL)",1881,POINT (385132.19154980965 7215130.412351634),"POLYGON ((386132.19154980965 7215130.412351634, 386127.37627648184 7215032.395211305, 386112.97683021287 7214935.322029619, 386089.13188554184 7214840.12767438, 386056.07108232094 7214747.7289192695, 386014.112814158 7214659.015614809, 385963.6611621122 7214574.842118614, 385905.20200317237 7214496.019067471, 385839.2983309962 7214423.305570448, 385766.5848339733 7214357.401898271, 385687.76178282924 7214298.942739332, 385603.58828663564 7214248.491087286, 385514.8749821747 7214206.532819123, 385422.4762270641 7214173.472015902, 385327.2818718258 7214149.627071231, 385230.20869013923 7214135.227624962, 385132.19154980965 7214130.412351634, 385034.17440948007 7214135.227624962, 384937.1012277935 7214149.627071231, 384841.9068725552 7214173.472015902, 384749.5081174446 7214206.532819123, 384660.79481298366 7214248.491087286, 384576.62131679006 7214298.942739332, 384497.798265646 7214357.401898271, 384425.0847686231 7214423.305570448, 384359.18109644693 7214496.019067471, 384300.7219375071 7214574.842118614, 384250.2702854613 7214659.015614809, 384208.31201729836 7214747.7289192695, 384175.25121407746 7214840.12767438, 384151.40626940643 7214935.322029619, 384137.00682313746 7215032.395211305, 384132.19154980965 7215130.412351634, 384137.00682313746 7215228.429491964, 384151.40626940643 7215325.50267365, 384175.25121407746 7215420.697028888, 384208.31201729836 7215513.095783999, 384250.2702854613 7215601.80908846, 384300.7219375071 7215685.982584654, 384359.18109644693 7215764.805635798, 384425.0847686231 7215837.519132821, 384497.798265646 7215903.422804997, 384576.62131679006 7215961.881963937, 384660.79481298366 7216012.333615983, 384749.5081174446 7216054.291884146, 384841.9068725552 7216087.352687366, 384937.1012277935 7216111.197632038, 385034.17440948007 7216125.597078307, 385132.19154980965 7216130.412351634, 385230.20869013923 7216125.597078307, 385327.2818718258 7216111.197632038, 385422.4762270641 7216087.352687366, 385514.8749821747 7216054.291884146, 385603.58828663564 7216012.333615983, 385687.76178282924 7215961.881963937, 385766.5848339733 7215903.422804997, 385839.2983309962 7215837.519132821, 385905.20200317237 7215764.805635798, 385963.6611621122 7215685.982584654, 386014.112814158 7215601.80908846, 386056.07108232094 7215513.095783999, 386089.13188554184 7215420.697028888, 386112.97683021287 7215325.50267365, 386127.37627648184 7215228.429491964, 386132.19154980965 7215130.412351634))","POLYGON ((385632.19154980965 7215130.412351634, 385629.7839131458 7215081.40378147, 385622.58419001126 7215032.867190626, 385610.66171767574 7214985.270013007, 385594.13131606526 7214939.070635452, 385573.1521819838 7214894.713983221, 385547.9263559609 7214852.627235125, 385518.696776491 7214813.215709552, 385485.7449404029 7214776.858961041, 385449.3881918915 7214743.907124953, 385409.9766663195 7214714.677545483, 385367.8899182227 7214689.45171946, 385323.5332659922 7214668.472585379, 385277.3338884369 7214651.942183768, 385229.7367108177 7214640.019711433, 385181.20011997444 7214632.819988298, 385132.19154980965 7214630.412351634, 385083.18297964486 7214632.819988298, 385034.6463888016 7214640.019711433, 384987.0492111824 7214651.942183768, 384940.8498336271 7214668.472585379, 384896.4931813966 7214689.45171946, 384854.4064332998 7214714.677545483, 384814.9949077278 7214743.907124953, 384778.6381592164 7214776.858961041, 384745.6863231283 7214813.215709552, 384716.4567436584 7214852.627235125, 384691.2309176355 7214894.713983221, 384670.25178355403 7214939.070635452, 384653.72138194356 7214985.270013007, 384641.79890960804 7215032.867190626, 384634.5991864735 7215081.40378147, 384632.19154980965 7215130.412351634, 384634.5991864735 7215179.420921799, 384641.79890960804 7215227.957512642, 384653.72138194356 7215275.554690261, 384670.25178355403 7215321.754067817, 384691.2309176355 7215366.110720048, 384716.4567436584 7215408.197468144, 384745.6863231283 7215447.608993717, 384778.6381592164 7215483.965742228, 384814.9949077278 7215516.917578315, 384854.4064332998 7215546.1471577855, 384896.4931813966 7215571.372983809, 384940.8498336271 7215592.35211789, 384987.0492111824 7215608.8825195, 385034.6463888016 7215620.804991836, 385083.18297964486 7215628.0047149705, 385132.19154980965 7215630.412351634, 385181.20011997444 7215628.0047149705, 385229.7367108177 7215620.804991836, 385277.3338884369 7215608.8825195, 385323.5332659922 7215592.35211789, 385367.8899182227 7215571.372983809, 385409.9766663195 7215546.1471577855, 385449.3881918915 7215516.917578315, 385485.7449404029 7215483.965742228, 385518.696776491 7215447.608993717, 385547.9263559609 7215408.197468144, 385573.1521819838 7215366.110720048, 385594.13131606526 7215321.754067817, 385610.66171767574 7215275.554690261, 385622.58419001126 7215227.957512642, 385629.7839131458 7215179.420921799, 385632.19154980965 7215130.412351634))","POLYGON ((385232.19154980965 7215130.412351634, 385231.71002247685 7215120.610637601, 385230.27007785 7215110.903319432, 385227.88558338286 7215101.383883909, 385224.5795030608 7215092.144008398, 385220.38367624447 7215083.2726779515, 385215.3385110399 7215074.855328333, 385209.49259514594 7215066.973023218, 385202.9022279283 7215059.701673516, 385195.630878226 7215053.1113062985, 385187.7485731116 7215047.2653904045, 385179.3312234923 7215042.220225199, 385170.4598930462 7215038.024398384, 385161.2200175351 7215034.718318061, 385151.70058201125 7215032.333823594, 385141.9932638426 7215030.8938789675, 385132.19154980965 7215030.412351634, 385122.3898357767 7215030.8938789675, 385112.68251760805 7215032.333823594, 385103.1630820842 7215034.718318061, 385093.9232065731 7215038.024398384, 385085.051876127 7215042.220225199, 385076.6345265077 7215047.2653904045, 385068.7522213933 7215053.1113062985, 385061.480871691 7215059.701673516, 385054.89050447335 7215066.973023218, 385049.0445885794 7215074.855328333, 385043.99942337483 7215083.2726779515, 385039.8035965585 7215092.144008398, 385036.49751623644 7215101.383883909, 385034.1130217693 7215110.903319432, 385032.67307714245 7215120.610637601, 385032.19154980965 7215130.412351634, 385032.67307714245 7215140.214065667, 385034.1130217693 7215149.921383836, 385036.49751623644 7215159.440819359, 385039.8035965585 7215168.680694871, 385043.99942337483 7215177.552025317, 385049.0445885794 7215185.969374936, 385054.89050447335 7215193.851680051, 385061.480871691 7215201.123029753, 385068.7522213933 7215207.71339697, 385076.6345265077 7215213.559312864, 385085.051876127 7215218.60447807, 385093.9232065731 7215222.800304885, 385103.1630820842 7215226.106385208, 385112.68251760805 7215228.490879674, 385122.3898357767 7215229.930824301, 385132.19154980965 7215230.412351634, 385141.9932638426 7215229.930824301, 385151.70058201125 7215228.490879674, 385161.2200175351 7215226.106385208, 385170.4598930462 7215222.800304885, 385179.3312234923 7215218.60447807, 385187.7485731116 7215213.559312864, 385195.630878226 7215207.71339697, 385202.9022279283 7215201.123029753, 385209.49259514594 7215193.851680051, 385215.3385110399 7215185.969374936, 385220.38367624447 7215177.552025317, 385224.5795030608 7215168.680694871, 385227.88558338286 7215159.440819359, 385230.27007785 7215149.921383836, 385231.71002247685 7215140.214065667, 385232.19154980965 7215130.412351634))",0,0,0
Helsinki Kumpula,101004,339.0,2998.0,60.2,24.96,24.0,"sää, sade, ilmanlaatu (IL)",2005,POINT (386913.1123866093 6675432.347305597),"POLYGON ((387913.1123866093 6675432.347305597, 387908.2971132815 6675334.330165267, 387893.8976670125 6675237.256983581, 387870.0527223415 6675142.062628343, 387836.9919191206 6675049.663873232, 387795.0336509577 6674960.950568771, 387744.58199891186 6674876.777072577, 387686.122839972 6674797.954021433, 387620.21916779585 6674725.24052441, 387547.505670773 6674659.336852234, 387468.6826196289 6674600.877693295, 387384.5091234353 6674550.426041248, 387295.7958189744 6674508.467773085, 387203.39706386375 6674475.406969865, 387108.20270862547 6674451.562025193, 387011.1295269389 6674437.162578925, 386913.1123866093 6674432.347305597, 386815.0952462797 6674437.162578925, 386718.02206459315 6674451.562025193, 386622.82770935487 6674475.406969865, 386530.42895424424 6674508.467773085, 386441.7156497833 6674550.426041248, 386357.5421535897 6674600.877693295, 386278.71910244564 6674659.336852234, 386206.0056054228 6674725.24052441, 386140.1019332466 6674797.954021433, 386081.64277430676 6674876.777072577, 386031.19112226093 6674960.950568771, 385989.232854098 6675049.663873232, 385956.1720508771 6675142.062628343, 385932.3271062061 6675237.256983581, 385917.9276599371 6675334.330165267, 385913.1123866093 6675432.347305597, 385917.9276599371 6675530.364445927, 385932.3271062061 6675627.437627613, 385956.1720508771 6675722.631982851, 385989.232854098 6675815.030737962, 386031.19112226093 6675903.744042423, 386081.64277430676 6675987.917538617, 386140.1019332466 6676066.74058976, 386206.0056054228 6676139.454086783, 386278.71910244564 6676205.35775896, 386357.5421535897 6676263.816917899, 386441.7156497833 6676314.268569945, 386530.42895424424 6676356.226838108, 386622.82770935487 6676389.287641329, 386718.02206459315 6676413.1325860005, 386815.0952462797 6676427.532032269, 386913.1123866093 6676432.347305597, 387011.1295269389 6676427.532032269, 387108.20270862547 6676413.1325860005, 387203.39706386375 6676389.287641329, 387295.7958189744 6676356.226838108, 387384.5091234353 6676314.268569945, 387468.6826196289 6676263.816917899, 387547.505670773 6676205.35775896, 387620.21916779585 6676139.454086783, 387686.122839972 6676066.74058976, 387744.58199891186 6675987.917538617, 387795.0336509577 6675903.744042423, 387836.9919191206 6675815.030737962, 387870.0527223415 6675722.631982851, 387893.8976670125 6675627.437627613, 387908.2971132815 6675530.364445927, 387913.1123866093 6675432.347305597))","POLYGON ((387413.1123866093 6675432.347305597, 387410.70474994543 6675383.338735432, 387403.5050268109 6675334.802144589, 387391.5825544754 6675287.20496697, 387375.0521528649 6675241.005589414, 387354.07301878347 6675196.648937183, 387328.84719276056 6675154.562189087, 387299.61761329067 6675115.150663515, 387266.6657772026 6675078.793915004, 387230.30902869115 6675045.842078916, 387190.89750311914 6675016.612499446, 387148.81075502234 6674991.3866734225, 387104.45410279185 6674970.407539342, 387058.25472523656 6674953.877137731, 387010.6575476174 6674941.954665395, 386962.1209567741 6674934.754942261, 386913.1123866093 6674932.347305597, 386864.1038164445 6674934.754942261, 386815.56722560123 6674941.954665395, 386767.97004798206 6674953.877137731, 386721.7706704268 6674970.407539342, 386677.4140181963 6674991.3866734225, 386635.3272700995 6675016.612499446, 386595.9157445275 6675045.842078916, 386559.55899601604 6675078.793915004, 386526.60715992795 6675115.150663515, 386497.37758045807 6675154.562189087, 386472.15175443515 6675196.648937183, 386451.1726203537 6675241.005589414, 386434.6422187432 6675287.20496697, 386422.7197464077 6675334.802144589, 386415.5200232732 6675383.338735432, 386413.1123866093 6675432.347305597, 386415.5200232732 6675481.355875761, 386422.7197464077 6675529.892466605, 386434.6422187432 6675577.489644224, 386451.1726203537 6675623.689021779, 386472.15175443515 6675668.04567401, 386497.37758045807 6675710.132422106, 386526.60715992795 6675749.543947679, 386559.55899601604 6675785.90069619, 386595.9157445275 6675818.852532278, 386635.3272700995 6675848.082111748, 386677.4140181963 6675873.307937771, 386721.7706704268 6675894.287071852, 386767.97004798206 6675910.817473463, 386815.56722560123 6675922.739945798, 386864.1038164445 6675929.939668933, 386913.1123866093 6675932.347305597, 386962.1209567741 6675929.939668933, 387010.6575476174 6675922.739945798, 387058.25472523656 6675910.817473463, 387104.45410279185 6675894.287071852, 387148.81075502234 6675873.307937771, 387190.89750311914 6675848.082111748, 387230.30902869115 6675818.852532278, 387266.6657772026 6675785.90069619, 387299.61761329067 6675749.543947679, 387328.84719276056 6675710.132422106, 387354.07301878347 6675668.04567401, 387375.0521528649 6675623.689021779, 387391.5825544754 6675577.489644224, 387403.5050268109 6675529.892466605, 387410.70474994543 6675481.355875761, 387413.1123866093 6675432.347305597))","POLYGON ((387013.1123866093 6675432.347305597, 387012.6308592765 6675422.545591564, 387011.19091464963 6675412.838273395, 387008.8064201825 6675403.318837872, 387005.50033986045 6675394.0789623605, 387001.30451304413 6675385.207631914, 386996.2593478396 6675376.790282295, 386990.4134319456 6675368.907977181, 386983.82306472794 6675361.6366274785, 386976.5517150257 6675355.046260261, 386968.66940991126 6675349.200344367, 386960.25206029194 6675344.155179162, 386951.38072984584 6675339.959352346, 386942.14085433475 6675336.653272023, 386932.6214188109 6675334.268777557, 386922.91410064226 6675332.82883293, 386913.1123866093 6675332.347305597, 386903.31067257636 6675332.82883293, 386893.6033544077 6675334.268777557, 386884.0839188839 6675336.653272023, 386874.8440433728 6675339.959352346, 386865.9727129267 6675344.155179162, 386857.55536330736 6675349.200344367, 386849.67305819294 6675355.046260261, 386842.4017084907 6675361.6366274785, 386835.811341273 6675368.907977181, 386829.96542537905 6675376.790282295, 386824.9202601745 6675385.207631914, 386820.7244333582 6675394.0789623605, 386817.4183530361 6675403.318837872, 386815.033858569 6675412.838273395, 386813.5939139421 6675422.545591564, 386813.1123866093 6675432.347305597, 386813.5939139421 6675442.14901963, 386815.033858569 6675451.856337799, 386817.4183530361 6675461.375773322, 386820.7244333582 6675470.615648833, 386824.9202601745 6675479.48697928, 386829.96542537905 6675487.9043288985, 386835.811341273 6675495.786634013, 386842.4017084907 6675503.057983715, 386849.67305819294 6675509.648350933, 386857.55536330736 6675515.494266827, 386865.9727129267 6675520.539432032, 386874.8440433728 6675524.7352588475, 386884.0839188839 6675528.04133917, 386893.6033544077 6675530.425833637, 386903.31067257636 6675531.865778264, 386913.1123866093 6675532.347305597, 386922.91410064226 6675531.865778264, 386932.6214188109 6675530.425833637, 386942.14085433475 6675528.04133917, 386951.38072984584 6675524.7352588475, 386960.25206029194 6675520.539432032, 386968.66940991126 6675515.494266827, 386976.5517150257 6675509.648350933, 386983.82306472794 6675503.057983715, 386990.4134319456 6675495.786634013, 386996.2593478396 6675487.9043288985, 387001.30451304413 6675479.48697928, 387005.50033986045 6675470.615648833, 387008.8064201825 6675461.375773322, 387011.19091464963 6675451.856337799, 387012.6308592765 6675442.14901963, 387013.1123866093 6675432.347305597))",0,0,0
Hämeenlinna Kotinen,101188,1437.0,,61.24,25.07,158.0,ilmanlaatu (IL),1987,POINT (396413.35210889066 6791049.76479791),"POLYGON ((397413.35210889066 6791049.76479791, 397408.53683556285 6790951.74765758, 397394.1373892939 6790854.674475894, 397370.29244462284 6790759.480120656, 397337.23164140194 6790667.081365545, 397295.27337323903 6790578.368061084, 397244.8217211932 6790494.19456489, 397186.3625622534 6790415.371513747, 397120.4588900772 6790342.658016724, 397047.7453930543 6790276.754344547, 396968.92234191025 6790218.295185608, 396884.74884571665 6790167.843533562, 396796.0355412557 6790125.885265399, 396703.6367861451 6790092.824462178, 396608.4424309068 6790068.979517506, 396511.36924922024 6790054.580071238, 396413.35210889066 6790049.76479791, 396315.3349685611 6790054.580071238, 396218.2617868745 6790068.979517506, 396123.0674316362 6790092.824462178, 396030.6686765256 6790125.885265399, 395941.95537206467 6790167.843533562, 395857.78187587106 6790218.295185608, 395778.958824727 6790276.754344547, 395706.2453277041 6790342.658016724, 395640.34165552794 6790415.371513747, 395581.8824965881 6790494.19456489, 395531.4308445423 6790578.368061084, 395489.47257637937 6790667.081365545, 395456.41177315847 6790759.480120656, 395432.56682848744 6790854.674475894, 395418.16738221847 6790951.74765758, 395413.35210889066 6791049.76479791, 395418.16738221847 6791147.78193824, 395432.56682848744 6791244.855119926, 395456.41177315847 6791340.049475164, 395489.47257637937 6791432.448230275, 395531.4308445423 6791521.161534736, 395581.8824965881 6791605.33503093, 395640.34165552794 6791684.158082074, 395706.2453277041 6791756.871579097, 395778.958824727 6791822.775251273, 395857.78187587106 6791881.234410212, 395941.95537206467 6791931.686062259, 396030.6686765256 6791973.644330421, 396123.0674316362 6792006.705133642, 396218.2617868745 6792030.550078314, 396315.3349685611 6792044.949524582, 396413.35210889066 6792049.76479791, 396511.36924922024 6792044.949524582, 396608.4424309068 6792030.550078314, 396703.6367861451 6792006.705133642, 396796.0355412557 6791973.644330421, 396884.74884571665 6791931.686062259, 396968.92234191025 6791881.234410212, 397047.7453930543 6791822.775251273, 397120.4588900772 6791756.871579097, 397186.3625622534 6791684.158082074, 397244.8217211932 6791605.33503093, 397295.27337323903 6791521.161534736, 397337.23164140194 6791432.448230275, 397370.29244462284 6791340.049475164, 397394.1373892939 6791244.855119926, 397408.53683556285 6791147.78193824, 397413.35210889066 6791049.76479791))","POLYGON ((396913.35210889066 6791049.76479791, 396910.9444722268 6791000.756227746, 396903.74474909226 6790952.219636902, 396891.82227675675 6790904.622459283, 396875.2918751463 6790858.423081728, 396854.3127410648 6790814.066429497, 396829.0869150419 6790771.979681401, 396799.857335572 6790732.568155828, 396766.9054994839 6790696.211407317, 396730.5487509725 6790663.259571229, 396691.1372254005 6790634.029991759, 396649.0504773037 6790608.804165736, 396604.6938250732 6790587.825031655, 396558.4944475179 6790571.294630044, 396510.89726989873 6790559.372157709, 396462.36067905545 6790552.172434574, 396413.35210889066 6790549.76479791, 396364.34353872587 6790552.172434574, 396315.8069478826 6790559.372157709, 396268.2097702634 6790571.294630044, 396222.0103927081 6790587.825031655, 396177.65374047763 6790608.804165736, 396135.56699238083 6790634.029991759, 396096.1554668088 6790663.259571229, 396059.7987182974 6790696.211407317, 396026.8468822093 6790732.568155828, 395997.6173027394 6790771.979681401, 395972.3914767165 6790814.066429497, 395951.41234263504 6790858.423081728, 395934.88194102456 6790904.622459283, 395922.95946868905 6790952.219636902, 395915.75974555453 6791000.756227746, 395913.35210889066 6791049.76479791, 395915.75974555453 6791098.773368075, 395922.95946868905 6791147.309958918, 395934.88194102456 6791194.907136537, 395951.41234263504 6791241.106514093, 395972.3914767165 6791285.4631663235, 395997.6173027394 6791327.54991442, 396026.8468822093 6791366.961439992, 396059.7987182974 6791403.318188503, 396096.1554668088 6791436.270024591, 396135.56699238083 6791465.499604061, 396177.65374047763 6791490.725430084, 396222.0103927081 6791511.704564165, 396268.2097702634 6791528.234965776, 396315.8069478826 6791540.1574381115, 396364.34353872587 6791547.357161246, 396413.35210889066 6791549.76479791, 396462.36067905545 6791547.357161246, 396510.89726989873 6791540.1574381115, 396558.4944475179 6791528.234965776, 396604.6938250732 6791511.704564165, 396649.0504773037 6791490.725430084, 396691.1372254005 6791465.499604061, 396730.5487509725 6791436.270024591, 396766.9054994839 6791403.318188503, 396799.857335572 6791366.961439992, 396829.0869150419 6791327.54991442, 396854.3127410648 6791285.4631663235, 396875.2918751463 6791241.106514093, 396891.82227675675 6791194.907136537, 396903.74474909226 6791147.309958918, 396910.9444722268 6791098.773368075, 396913.35210889066 6791049.76479791))","POLYGON ((396513.35210889066 6791049.76479791, 396512.87058155786 6791039.963083877, 396511.430636931 6791030.255765708, 396509.04614246386 6791020.736330185, 396505.7400621418 6791011.496454674, 396501.5442353255 6791002.625124227, 396496.4990701209 6790994.207774608, 396490.65315422695 6790986.325469494, 396484.0627870093 6790979.054119792, 396476.791437307 6790972.463752574, 396468.9091321926 6790966.61783668, 396460.4917825733 6790961.572671475, 396451.6204521272 6790957.376844659, 396442.3805766161 6790954.070764337, 396432.86114109226 6790951.68626987, 396423.1538229236 6790950.246325243, 396413.35210889066 6790949.76479791, 396403.5503948577 6790950.246325243, 396393.84307668905 6790951.68626987, 396384.3236411652 6790954.070764337, 396375.0837656541 6790957.376844659, 396366.212435208 6790961.572671475, 396357.7950855887 6790966.61783668, 396349.9127804743 6790972.463752574, 396342.641430772 6790979.054119792, 396336.05106355436 6790986.325469494, 396330.2051476604 6790994.207774608, 396325.15998245584 6791002.625124227, 396320.9641556395 6791011.496454674, 396317.65807531745 6791020.736330185, 396315.27358085033 6791030.255765708, 396313.83363622345 6791039.963083877, 396313.35210889066 6791049.76479791, 396313.83363622345 6791059.566511943, 396315.27358085033 6791069.273830112, 396317.65807531745 6791078.793265635, 396320.9641556395 6791088.033141146, 396325.15998245584 6791096.904471593, 396330.2051476604 6791105.321821212, 396336.05106355436 6791113.204126326, 396342.641430772 6791120.475476028, 396349.9127804743 6791127.065843246, 396357.7950855887 6791132.91175914, 396366.212435208 6791137.956924345, 396375.0837656541 6791142.152751161, 396384.3236411652 6791145.4588314835, 396393.84307668905 6791147.84332595, 396403.5503948577 6791149.283270577, 396413.35210889066 6791149.76479791, 396423.1538229236 6791149.283270577, 396432.86114109226 6791147.84332595, 396442.3805766161 6791145.4588314835, 396451.6204521272 6791142.152751161, 396460.4917825733 6791137.956924345, 396468.9091321926 6791132.91175914, 396476.791437307 6791127.065843246, 396484.0627870093 6791120.475476028, 396490.65315422695 6791113.204126326, 396496.4990701209 6791105.321821212, 396501.5442353255 6791096.904471593, 396505.7400621418 6791088.033141146, 396509.04614246386 6791078.793265635, 396511.430636931 6791069.273830112, 396512.87058155786 6791059.566511943, 396513.35210889066 6791049.76479791))",0,0,0
