"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Hengitettävät hiukkaset <10 µm [µg/m3]"
"Kaarina Kaarina","2024","3","9","02:00","4.3"
"Kaarina Kaarina","2024","3","9","03:00","3.8"
"Kaarina Kaarina","2024","3","9","04:00","4"
"Kaarina Kaarina","2024","3","9","05:00","4.3"
"Kaarina Kaarina","2024","3","9","06:00","6.2"
"Kaarina Kaarina","2024","3","9","07:00","5.7"
"Kaarina Kaarina","2024","3","9","08:00","5.4"
"Kaarina Kaarina","2024","3","9","09:00","5.2"
"Kaarina Kaarina","2024","3","9","10:00","8.8"
"Kaarina Kaarina","2024","3","9","11:00","7.5"
"Kaarina Kaarina","2024","3","9","12:00","7.9"
"Kaarina Kaarina","2024","3","9","13:00","17.2"
"Kaarina Kaarina","2024","3","9","14:00","19.7"
"Kaarina Kaarina","2024","3","9","15:00","15.9"
"Kaarina Kaarina","2024","3","9","16:00","14.1"
"Kaarina Kaarina","2024","3","9","17:00","19.7"
"Kaarina Kaarina","2024","3","9","18:00","14.3"
"Kaarina Kaarina","2024","3","9","19:00","11.3"
"Kaarina Kaarina","2024","3","9","20:00","8.4"
"Kaarina Kaarina","2024","3","9","21:00","9"
"Kaarina Kaarina","2024","3","9","22:00","15.6"
"Kaarina Kaarina","2024","3","9","23:00","13.6"
"Kaarina Kaarina","2024","3","10","00:00","12.1"
"Kaarina Kaarina","2024","3","10","01:00","9.3"
"Kaarina Kaarina","2024","3","10","02:00","14.2"
"Kaarina Kaarina","2024","3","10","03:00","28.3"
"Kaarina Kaarina","2024","3","10","04:00","27.7"
"Kaarina Kaarina","2024","3","10","05:00","21.2"
"Kaarina Kaarina","2024","3","10","06:00","28.2"
"Kaarina Kaarina","2024","3","10","07:00","28.2"
"Kaarina Kaarina","2024","3","10","08:00","33.8"
"Kaarina Kaarina","2024","3","10","09:00","38.1"
"Kaarina Kaarina","2024","3","10","10:00","34.7"
"Kaarina Kaarina","2024","3","10","11:00","28"
"Kaarina Kaarina","2024","3","10","12:00","21.9"
